"Time [s]";"Pressure [mmHg]";
5.25;179.58;
5.26;173.62;
5.27;173.53;
5.28;180.59;
5.29;167.62;
5.30;178.09;
5.31;178.73;
5.32;166.53;
5.33;180.94;
5.34;175.56;
5.35;166.89;
5.36;182.53;
5.37;172.50;
5.38;170.28;
5.39;184.20;
5.40;168.47;
5.41;173.70;
5.42;183.16;
5.43;165.64;
5.44;177.16;
5.45;181.59;
5.46;165.23;
5.47;180.28;
5.48;178.17;
5.49;165.23;
5.50;182.78;
5.51;174.92;
5.52;168.83;
5.53;184.25;
5.54;171.14;
5.55;172.19;
5.56;184.19;
5.57;169.45;
5.58;174.98;
5.59;184.72;
5.60;167.98;
5.61;173.45;
5.62;183.95;
5.63;167.33;
5.64;175.67;
5.65;184.30;
5.66;168.75;
5.67;176.23;
5.68;183.03;
5.69;166.62;
5.70;176.61;
5.71;183.27;
5.72;168.08;
5.73;177.88;
5.74;183.16;
5.75;166.78;
5.76;176.34;
5.77;183.89;
5.78;169.16;
5.79;176.59;
5.80;182.95;
5.81;168.00;
5.82;176.53;
5.83;184.11;
5.84;169.83;
5.85;175.61;
5.86;182.95;
5.87;168.33;
5.88;175.22;
5.89;184.61;
5.90;170.12;
5.91;173.58;
5.92;184.55;
5.93;172.33;
5.94;173.58;
5.95;183.69;
5.96;171.45;
5.97;172.83;
5.98;184.72;
5.99;174.61;
6.00;176.38;
6.01;183.41;
6.02;171.52;
6.03;175.61;
6.04;182.69;
6.05;170.59;
6.06;175.52;
6.07;183.61;
6.08;173.41;
6.09;178.20;
6.10;181.52;
6.11;170.48;
6.12;178.38;
6.13;181.28;
6.14;169.78;
6.15;178.06;
6.16;182.20;
6.17;169.64;
6.18;174.80;
6.19;182.84;
6.20;172.38;
6.21;175.20;
6.22;182.86;
6.23;172.78;
6.24;174.25;
6.25;182.61;
6.26;173.47;
6.27;173.22;
6.28;182.72;
6.29;174.94;
6.30;172.30;
6.31;181.83;
6.32;176.47;
6.33;172.27;
6.34;181.53;
6.35;177.98;
6.36;171.53;
6.37;180.58;
6.38;178.92;
