"Time [s]";"Pressure [mmHg]";
5.25;0.05;
5.26;0.03;
5.27;0.06;
5.28;0.02;
5.29;0.16;
5.30;0.08;
5.31;0.05;
5.32;0.02;
5.33;0.00;
5.34;0.00;
5.35;0.00;
5.36;0.00;
5.37;0.00;
5.38;0.00;
5.39;0.00;
5.40;0.00;
5.41;0.03;
5.42;0.02;
5.43;0.09;
5.44;0.02;
5.45;0.08;
5.46;0.16;
5.47;0.05;
5.48;0.06;
5.49;0.03;
5.50;0.00;
5.51;0.02;
5.52;0.03;
5.53;0.00;
5.54;0.00;
5.55;0.09;
5.56;0.00;
5.57;0.12;
5.58;0.02;
5.59;0.03;
5.60;0.00;
5.61;0.00;
5.62;0.00;
5.63;0.00;
5.64;0.00;
5.65;0.00;
5.66;0.00;
5.67;0.00;
5.68;0.03;
5.69;0.08;
5.70;0.03;
5.71;0.08;
5.72;0.03;
5.73;0.14;
5.74;0.00;
5.75;0.06;
5.76;0.00;
5.77;0.00;
5.78;0.00;
5.79;0.09;
5.80;0.05;
5.81;0.09;
5.82;0.03;
5.83;0.06;
5.84;0.03;
5.85;0.00;
5.86;0.00;
5.87;0.05;
5.88;0.08;
5.89;0.05;
5.90;0.03;
5.91;0.00;
5.92;0.09;
5.93;0.03;
5.94;0.08;
5.95;0.00;
5.96;0.05;
5.97;0.11;
5.98;0.00;
5.99;0.00;
6.00;0.00;
6.01;0.09;
6.02;0.06;
6.03;0.09;
6.04;0.06;
6.05;0.02;
6.06;0.09;
6.07;0.00;
6.08;0.00;
6.09;10.78;
6.10;59.36;
6.11;93.09;
6.12;109.95;
6.13;119.86;
6.14;129.73;
6.15;144.27;
6.16;156.09;
6.17;165.48;
6.18;172.47;
6.19;176.95;
6.20;179.91;
6.21;181.61;
6.22;182.53;
6.23;182.83;
6.24;183.05;
6.25;183.31;
6.26;183.28;
6.27;183.42;
6.28;183.41;
6.29;183.42;
6.30;183.36;
6.31;183.47;
6.32;183.42;
6.33;183.38;
6.34;183.44;
6.35;183.33;
6.36;183.42;
6.37;183.39;
6.38;183.30;
6.39;183.41;
6.40;183.33;
6.41;183.20;
6.42;183.27;
6.43;183.20;
6.44;183.20;
6.45;183.23;
6.46;183.28;
6.47;183.17;
6.48;183.16;
6.49;183.14;
6.50;183.09;
6.51;183.03;
6.52;183.05;
6.53;183.11;
6.54;182.95;
6.55;183.11;
6.56;182.94;
6.57;183.00;
6.58;182.84;
6.59;182.88;
6.60;182.80;
6.61;182.81;
6.62;182.72;
6.63;182.69;
6.64;182.66;
6.65;182.75;
6.66;182.73;
6.67;182.70;
6.68;182.62;
6.69;182.56;
6.70;182.53;
6.71;182.61;
6.72;182.39;
6.73;182.44;
6.74;182.50;
6.75;182.30;
6.76;182.48;
6.77;182.30;
6.78;182.38;
6.79;182.30;
6.80;182.31;
6.81;182.23;
6.82;182.23;
6.83;182.33;
6.84;182.28;
6.85;182.31;
6.86;182.12;
6.87;182.17;
6.88;182.16;
6.89;181.98;
6.90;182.09;
6.91;182.03;
6.92;182.02;
6.93;182.14;
6.94;182.03;
6.95;182.00;
6.96;181.92;
6.97;181.88;
6.98;181.97;
6.99;181.91;
7.00;182.08;
7.01;181.91;
7.02;181.83;
7.03;181.86;
7.04;181.77;
7.05;181.80;
7.06;181.56;
7.07;181.73;
7.08;181.56;
7.09;181.75;
7.10;181.59;
7.11;181.53;
7.12;181.53;
7.13;181.52;
7.14;181.47;
7.15;181.52;
7.16;181.55;
7.17;181.53;
7.18;181.48;
7.19;181.44;
7.20;181.45;
7.21;181.33;
7.22;181.42;
7.23;181.22;
7.24;181.20;
7.25;181.19;
7.26;181.31;
7.27;181.28;
7.28;181.19;
7.29;181.20;
7.30;181.17;
7.31;181.17;
7.32;181.22;
7.33;181.16;
7.34;181.16;
7.35;181.27;
7.36;181.09;
7.37;181.09;
7.38;181.11;
7.39;181.02;
7.40;181.00;
7.41;181.09;
7.42;181.03;
7.43;180.98;
7.44;180.91;
7.45;180.94;
7.46;180.89;
7.47;180.94;
7.48;180.75;
7.49;181.02;
7.50;180.81;
7.51;180.91;
7.52;180.89;
7.53;180.88;
7.54;180.80;
7.55;180.75;
7.56;180.84;
7.57;180.80;
7.58;180.72;
7.59;180.77;
7.60;180.62;
7.61;180.66;
7.62;180.62;
7.63;180.67;
7.64;180.70;
7.65;180.77;
7.66;180.70;
7.67;180.66;
7.68;180.62;
7.69;180.61;
7.70;180.44;
7.71;180.47;
7.72;180.42;
7.73;180.38;
7.74;180.44;
7.75;180.38;
7.76;180.48;
7.77;180.25;
7.78;180.39;
7.79;180.36;
7.80;180.28;
7.81;180.44;
7.82;180.36;
7.83;180.19;
7.84;180.31;
7.85;180.19;
7.86;180.19;
7.87;180.11;
7.88;180.11;
7.89;180.20;
7.90;180.16;
7.91;180.25;
7.92;180.19;
7.93;180.08;
7.94;180.14;
7.95;180.17;
7.96;180.27;
7.97;180.30;
7.98;180.28;
7.99;180.17;
8.00;180.14;
8.01;180.20;
8.02;180.05;
8.03;180.00;
8.04;180.05;
8.05;180.00;
8.06;180.05;
8.07;179.97;
8.08;180.05;
8.09;179.92;
8.10;180.02;
8.11;180.00;
8.12;180.03;
8.13;180.03;
8.14;179.95;
8.15;180.00;
8.16;179.78;
8.17;179.86;
8.18;179.78;
8.19;179.78;
8.20;179.73;
8.21;179.69;
8.22;179.88;
8.23;179.78;
8.24;179.70;
8.25;179.78;
8.26;179.78;
8.27;179.78;
8.28;179.80;
8.29;179.80;
8.30;179.73;
8.31;179.66;
8.32;179.69;
8.33;179.59;
8.34;179.62;
8.35;179.39;
8.36;179.59;
8.37;179.58;
8.38;179.52;
8.39;179.50;
8.40;179.52;
8.41;179.53;
8.42;179.50;
8.43;179.59;
8.44;179.53;
8.45;179.52;
8.46;179.27;
8.47;178.92;
8.48;179.05;
8.49;179.59;
8.50;180.17;
8.51;177.67;
8.52;179.42;
8.53;180.28;
8.54;177.83;
8.55;179.58;
8.56;179.86;
8.57;177.69;
8.58;182.39;
8.59;177.53;
8.60;177.25;
8.61;182.53;
8.62;174.11;
8.63;180.78;
8.64;180.61;
8.65;173.66;
8.66;184.28;
8.67;176.59;
8.68;175.70;
8.69;185.64;
8.70;173.41;
8.71;178.20;
8.72;185.27;
8.73;171.56;
8.74;180.27;
8.75;183.92;
8.76;171.17;
8.77;182.56;
8.78;181.02;
8.79;171.30;
8.80;184.48;
8.81;178.34;
8.82;173.34;
8.83;185.56;
8.84;175.38;
8.85;175.97;
8.86;185.16;
8.87;173.19;
8.88;178.67;
8.89;184.30;
8.90;172.41;
8.91;181.27;
8.92;181.95;
8.93;171.48;
8.94;182.91;
8.95;183.11;
8.96;170.84;
8.97;182.09;
8.98;182.11;
8.99;172.02;
9.00;183.23;
9.01;181.91;
9.02;171.22;
9.03;182.69;
9.04;181.69;
9.05;171.89;
9.06;183.75;
9.07;181.64;
9.08;171.56;
9.09;182.61;
9.10;181.95;
9.11;172.14;
9.12;183.19;
9.13;183.25;
9.14;171.66;
9.15;181.41;
9.16;183.19;
9.17;172.95;
9.18;181.39;
9.19;183.59;
9.20;172.61;
9.21;181.02;
9.22;183.86;
9.23;172.75;
9.24;179.45;
9.25;184.20;
9.26;173.91;
9.27;180.25;
9.28;184.73;
9.29;173.62;
9.30;178.70;
9.31;186.95;
9.32;177.14;
9.33;174.83;
9.34;185.14;
9.35;179.00;
9.36;174.34;
9.37;184.36;
9.38;180.67;
9.39;173.11;
9.40;182.86;
9.41;183.42;
9.42;173.05;
9.43;180.72;
9.44;184.69;
9.45;173.64;
9.46;178.73;
9.47;185.19;
9.48;175.39;
9.49;176.86;
9.50;185.95;
9.51;181.12;
9.52;174.56;
9.53;182.73;
9.54;181.89;
9.55;173.94;
9.56;182.05;
9.57;183.55;
9.58;173.86;
9.59;180.59;
9.60;184.44;
9.61;174.23;
9.62;178.83;
9.63;185.30;
9.64;175.78;
9.65;176.95;
9.66;185.88;
9.67;181.44;
9.68;173.20;
9.69;181.77;
9.70;182.84;
9.71;173.73;
9.72;179.36;
9.73;185.06;
9.74;175.48;
9.75;177.12;
9.76;185.64;
9.77;181.36;
9.78;173.47;
9.79;181.64;
9.80;182.80;
9.81;177.02;
9.82;183.14;
9.83;180.17;
9.84;175.84;
9.85;183.33;
9.86;180.69;
9.87;174.73;
9.88;182.52;
9.89;180.61;
9.90;175.47;
9.91;182.19;
9.92;181.59;
9.93;174.62;
9.94;181.53;
9.95;183.28;
9.96;174.83;
9.97;180.36;
9.98;183.92;
9.99;175.31;
10.00;178.97;
10.01;183.42;
10.02;178.33;
