method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
SinBP_D_EOnly,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,0.03382186880186566,0.04337257112968122,-0.03489798830792881,-0.013517997565704837,0.03276312281962727,0.041224705782717704,-0.034897988307928805,-0.005989299336039795,0.2918542832472056,0.5135135135135135,0,9.33761936857041,8.980615708931577
SinBP_D_EOnly,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,9.33761936857041,10.101559462009444,-0.1824490163696456,8.980615708931577,3.304479928748445,4.627952823765328,-0.18244901636964556,-0.11652350769537535,0.6834307393625925,0.3611111111111111,1,9.33761936857041,8.980615708931577
SinBP_D_EOnly,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,6.0836433551968065,6.449419202837377,-0.17447542777526387,5.866359583980765,2.0038722850183825,2.6883224657214253,-0.1744754277752639,-0.06655357819953088,0.4007844206165407,0.32432432432432434,0,9.15040268899185,8.821541922325833
SinBP_D_EOnly,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,3.0667593337950407,3.2453100525899603,-0.1708904582620529,-2.9551823383450664,0.9948320752713168,1.3472222300975774,-0.1708904582620529,-0.06342864885817084,0.3933920855871811,0.3783783783783784,0,9.15040268899185,8.821541922325833
SinBP_D_EOnly,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,0.03318872259333267,0.04242984094235933,-0.08963991627720107,-0.014668364236455707,0.03167229597174451,0.039879253138616726,-0.08963991627720098,-0.008194585068828844,0.10992660997960164,0.5945945945945946,0,9.15040268899185,8.821541922325833
SinBP_D_EOnly,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,9.15040268899185,9.69435520196701,-0.17331801640663125,8.821541922325833,2.994679632104961,4.031896132386573,-0.1733180164066313,-0.06587554626680787,0.3984199280505721,0.3611111111111111,1,9.15040268899185,8.821541922325833
SinBP_D_EOnly,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,6.0836433551968065,6.449419202837377,-0.17447542777526387,5.866359583980765,2.0038722850183825,2.6883224657214253,-0.1744754277752639,-0.06655357819953088,0.4007844206165407,0.32432432432432434,0,9.15040268899185,8.821541922325833
SinBP_D_EOnly,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,3.0667593337950407,3.2453100525899603,-0.1708904582620529,-2.9551823383450664,0.9948320752713168,1.3472222300975774,-0.1708904582620529,-0.06342864885817084,0.3933920855871811,0.3783783783783784,0,9.15040268899185,8.821541922325833
SinBP_D_EOnly,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,0.03318872259333267,0.04242984094235933,-0.08963991627720107,-0.014668364236455707,0.03167229597174451,0.039879253138616726,-0.08963991627720098,-0.008194585068828844,0.10992660997960164,0.5945945945945946,0,9.15040268899185,8.821541922325833
SinBP_D_EOnly,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,9.15040268899185,9.69435520196701,-0.17331801640663125,8.821541922325833,2.994679632104961,4.031896132386573,-0.1733180164066313,-0.06587554626680787,0.3984199280505721,0.3611111111111111,1,9.15040268899185,8.821541922325833
