経過時間_秒, A, HR, Mean, Phi, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
43.646, 4.0374, 72.5055, 6.7267, 2.2519, 122.94, 81.48, 0.7769, -0.6297, -2.5422, 3.1365, 1.2859, 803.0000, 829.0470, 1, 25, 0.5511, 9.8069, 9.2558, 3.1311, 0.5866, 0.4134, 122.94, 81.48, 122.94, 81.48, 0, 0, 1, ok
44.421, 2.9095, 74.8819, 3.8748, 1.9266, 112.56, 74.18, 0.9374, -0.3484, -1.0136, 2.7272, 1.3386, 837.0000, 827.5235, 1, 26, 0.1624, 8.7333, 8.5709, 2.4545, 0.5579, 0.4421, 112.56, 74.18, 112.56, 74.18, 0, 0, 1, ok
45.216, 1.8662, 75.1286, 2.3299, 2.6851, 124.39, 86.75, 0.4408, -0.8976, -1.6751, 0.8226, 0.4359, 835.0000, 801.2617, 1, 26, 0.1494, 4.6678, 4.5185, 1.3898, 0.6012, 0.3988, 124.39, 86.75, 124.39, 86.75, 0, 0, 1, ok
46.021, 4.8631, 74.8302, 4.7008, 2.9266, 139.69, 95.30, 0.2133, -0.9770, -4.7511, 1.0373, 1.1604, 771.0000, 798.6309, 1, 24, 0.3188, 9.8109, 9.4922, 3.6292, 0.6148, 0.3852, 139.69, 95.30, 139.69, 95.30, 0, 0, 1, ok
46.793, 4.5880, 76.2478, 6.0347, 2.4238, 128.80, 86.89, 0.6577, -0.7532, -3.4559, 3.0177, 0.8710, 798.0000, 801.8154, 1, 25, 0.2770, 9.8637, 9.5866, 3.3591, 0.5877, 0.4123, 128.80, 86.89, 128.80, 86.89, 0, 0, 1, ok
47.528, 3.8722, 78.9003, 6.9450, 2.5718, 127.79, 87.01, 0.5394, -0.8420, -3.2605, 2.0887, 1.1727, 806.0000, 786.9077, 1, 25, 0.6973, 9.8885, 9.1912, 2.9786, 0.6340, 0.3660, 127.79, 87.01, 127.79, 87.01, 0, 0, 1, ok
48.296, 4.2643, 78.5107, 6.4421, 2.5416, 128.54, 88.33, 0.5646, -0.8254, -3.5196, 2.4076, 1.0732, 768.0000, 760.4539, 1, 24, 0.6223, 9.7981, 9.1758, 3.2006, 0.6445, 0.3555, 128.54, 88.33, 128.54, 88.33, 0, 0, 1, ok
49.132, 4.5878, 74.9425, 5.8209, 2.2285, 123.85, 84.06, 0.7914, -0.6113, -2.8046, 3.6307, 0.7263, 732.0000, 764.2269, 1, 23, 0.4472, 9.8186, 9.3714, 3.3244, 0.5943, 0.4057, 123.85, 84.06, 123.85, 84.06, 0, 0, 1, ok
49.869, 4.1422, 78.0938, 5.1238, 2.0696, 119.70, 79.73, 0.8782, -0.4784, -1.9815, 3.6375, 0.8375, 764.0000, 800.6135, 1, 24, 0.3441, 9.4060, 9.0619, 3.0464, 0.5196, 0.4804, 119.70, 79.73, 119.70, 79.73, 0, 0, 1, ok
50.670, 2.5548, 76.4669, 2.9198, 2.2706, 117.88, 81.81, 0.7649, -0.6441, -1.6455, 1.9543, 0.6191, 837.0000, 768.3067, 1, 26, 0.1555, 6.4046, 6.2491, 1.9097, 0.5185, 0.4815, 117.88, 81.81, 117.88, 81.81, 0, 0, 1, ok
