経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, output_valid, reject_reason
21.163, 9.4755, 74.0000, -0.5900, -0.3933, 121.53, 83.11, 833.0000, 810.8113, 1, 121.53, 83.11, 0, 1, ok
21.906, 9.3570, 73.0011, -0.5150, -0.3962, 123.65, 86.59, 742.0000, 821.9057, 1, 123.65, 86.59, 0, 1, ok
22.802, 9.3351, 76.7310, -0.7116, -0.4003, 117.15, 76.66, 896.0000, 781.9528, 1, 117.15, 76.66, 0, 1, ok
23.602, 9.4152, 71.5157, -0.5156, -0.4051, 124.55, 86.81, 801.0000, 838.9764, 1, 124.55, 86.81, 0, 1, ok
24.407, 9.3350, 73.1718, -0.6180, -0.4532, 122.52, 82.59, 805.0000, 819.9882, 1, 122.52, 82.59, 0, 1, ok
25.240, 9.3188, 73.8467, -0.6559, -0.3689, 118.53, 78.31, 832.0000, 812.4941, 1, 118.53, 78.31, 0, 1, ok
26.119, 9.5346, 72.9708, -0.6346, -0.3570, 119.64, 79.82, 879.0000, 822.2471, 1, 119.64, 79.82, 0, 1, ok
26.878, 9.2054, 70.5365, -0.4881, -0.3754, 124.05, 86.54, 760.0000, 850.6235, 1, 124.05, 86.54, 0, 1, ok
27.715, 9.2571, 74.5053, -0.6079, -0.4342, 121.55, 82.51, 837.0000, 805.3118, 1, 121.55, 82.51, 0, 1, ok
28.483, 9.2148, 73.0677, -0.5520, -0.4337, 123.39, 85.11, 767.0000, 821.1559, 1, 123.39, 85.11, 0, 1, ok
29.259, 9.4265, 75.5593, -0.6454, -0.3872, 119.18, 80.02, 776.0000, 794.0779, 1, 119.18, 80.02, 0, 1, ok
30.084, 9.3002, 76.4293, -0.6804, -0.7655, 129.64, 88.10, 825.0000, 785.0390, 1, 129.64, 88.10, 0, 1, ok
30.957, 9.1821, 74.5324, -0.6400, -0.3600, 118.07, 78.49, 873.0000, 805.0195, 1, 118.07, 78.49, 0, 1, ok
31.757, 9.1821, 71.5129, -0.6048, -0.3780, 120.55, 80.43, 801.0000, 839.0097, 1, 120.55, 80.43, 0, 1, ok
32.419, 9.2230, 73.1703, -0.4532, -0.4532, 126.72, 90.96, 662.0000, 820.0049, 1, 126.72, 90.96, 0, 1, ok
33.163, 9.2941, 80.9714, -0.6480, -0.4486, 119.00, 81.82, 744.0000, 741.0024, 1, 119.00, 81.82, 0, 1, ok
33.998, 9.3919, 80.8079, -0.5766, -0.3992, 119.72, 84.63, 834.0000, 742.5012, 1, 119.72, 84.63, 0, 1, ok
34.631, 7.3884, 76.1179, -0.3957, -0.4748, 122.71, 88.04, 634.0000, 788.2506, 1, 122.71, 88.04, 0, 1, ok
35.399, 9.3139, 84.3733, -0.6751, -0.4685, 117.89, 81.48, 767.0000, 711.1253, 1, 117.89, 81.48, 0, 1, ok
36.168, 9.3840, 81.1839, -0.6023, -0.4302, 119.87, 84.13, 769.0000, 739.0627, 1, 119.87, 84.13, 0, 1, ok
37.109, 9.6063, 79.5723, -0.7282, -0.3862, 116.15, 76.83, 942.0000, 754.0313, 1, 116.15, 76.83, 0, 1, ok
37.934, 6.5209, 70.7534, -0.4904, -0.7357, 127.55, 86.02, 824.0000, 848.0157, 1, 127.55, 86.02, 0, 1, ok
38.634, 6.2074, 71.7697, -0.4806, -0.4405, 117.18, 77.46, 701.0000, 836.0078, 1, 117.18, 77.46, 0, 1, ok
39.543, 9.4885, 78.0738, -0.8003, -0.4237, 115.49, 73.35, 909.0000, 768.5039, 1, 115.49, 73.35, 0, 1, ok
40.314, 9.0908, 71.5349, -0.5083, -0.3267, 121.29, 83.84, 770.0000, 838.7520, 1, 121.29, 83.84, 0, 1, ok
41.178, 9.2553, 74.5920, -0.5571, -0.3857, 121.36, 83.90, 864.0000, 804.3760, 1, 121.36, 83.90, 0, 1, ok
41.980, 9.3774, 71.9262, -0.4965, -0.4965, 127.75, 90.24, 802.0000, 834.1880, 1, 127.75, 90.24, 0, 1, ok
42.820, 9.6445, 73.3412, -0.5761, -0.4526, 124.50, 86.02, 840.0000, 818.0940, 1, 124.50, 86.02, 0, 1, ok
43.646, 5.9051, 72.3723, -0.5107, -0.4321, 115.01, 74.56, 826.0000, 829.0470, 1, 115.01, 74.56, 0, 1, ok
44.421, 4.3491, 72.5055, -0.4794, -0.6392, 117.89, 75.96, 775.0000, 827.5235, 1, 117.89, 75.96, 0, 1, ok
45.216, 9.5339, 74.8819, -0.5535, -0.4684, 124.82, 87.44, 796.0000, 801.2617, 1, 124.82, 87.44, 0, 1, ok
46.021, 9.1664, 75.1286, -0.4560, -0.4560, 125.96, 90.95, 805.0000, 798.6309, 1, 125.96, 90.95, 0, 1, ok
46.793, 9.2662, 74.8302, -0.4509, -0.5317, 128.90, 93.62, 772.0000, 801.8154, 1, 128.90, 93.62, 0, 1, ok
47.528, 9.3510, 76.2478, -0.5557, -0.5130, 125.23, 88.04, 734.0000, 786.9077, 1, 125.23, 88.04, 0, 1, ok
48.296, 9.4745, 78.9003, -0.6294, -0.5395, 123.58, 85.68, 768.0000, 760.4539, 1, 123.58, 85.68, 0, 1, ok
49.132, 9.2505, 78.5107, -0.6445, -0.3867, 117.76, 79.80, 837.0000, 764.2269, 1, 117.76, 79.80, 0, 1, ok
49.869, 5.5083, 74.9425, -0.4731, -0.6703, 121.68, 81.90, 736.0000, 800.6135, 1, 121.68, 81.90, 0, 1, ok
50.670, 9.3421, 78.0938, -0.5829, -0.4484, 121.82, 85.06, 801.0000, 768.3067, 1, 121.82, 85.06, 0, 1, ok
51.446, 7.2862, 76.4669, -0.4532, -0.4532, 120.03, 84.05, 776.0000, 784.6534, 1, 120.03, 84.05, 0, 1, ok
52.172, 7.7410, 76.8909, -0.5090, -0.5103, 121.52, 84.42, 727.0000, 780.3267, 1, 121.52, 84.42, 0, 1, ok
52.969, 9.6268, 79.6111, -0.5901, -0.4539, 122.16, 86.13, 796.0000, 753.6633, 1, 122.16, 86.13, 0, 1, ok
53.774, 7.3609, 77.4362, -0.5791, -0.4560, 116.58, 77.83, 805.0000, 774.8317, 1, 116.58, 77.83, 0, 1, ok
54.545, 4.4980, 75.9575, -0.5329, -0.7789, 120.23, 77.96, 771.0000, 789.9158, 1, 120.23, 77.96, 0, 1, ok
55.412, 9.4481, 76.8779, -0.5992, -0.4280, 121.41, 83.87, 867.0000, 780.4579, 1, 121.41, 83.87, 0, 1, ok
56.146, 9.3447, 72.8395, -0.4187, -0.3806, 125.81, 91.24, 734.0000, 823.7290, 1, 125.81, 91.24, 0, 1, ok
56.915, 9.3590, 77.0352, -0.5845, -0.4946, 123.63, 86.15, 770.0000, 778.8645, 1, 123.63, 86.15, 0, 1, ok
57.717, 9.4035, 77.4761, -0.6000, -0.4286, 121.09, 83.75, 802.0000, 774.4322, 1, 121.09, 83.75, 0, 1, ok
58.483, 9.2759, 76.1213, -0.5349, -0.4115, 122.38, 86.08, 765.0000, 788.2161, 1, 122.38, 86.08, 0, 1, ok
59.288, 9.3798, 77.2590, -0.6039, -0.4314, 121.07, 83.50, 806.0000, 776.6081, 1, 121.07, 83.50, 0, 1, ok
60.130, 9.5049, 75.8242, -0.6141, -0.4094, 120.90, 82.63, 841.0000, 791.3040, 1, 120.90, 82.63, 0, 1, ok
60.888, 8.6952, 73.5157, -0.5493, -0.3924, 120.49, 82.21, 759.0000, 816.1520, 1, 120.49, 82.21, 0, 1, ok
61.697, 8.9549, 76.1831, -0.6087, -0.3913, 118.75, 80.38, 808.0000, 787.5760, 1, 118.75, 80.38, 0, 1, ok
62.497, 9.4104, 75.2079, -0.5718, -0.4072, 121.91, 84.38, 801.0000, 797.7880, 1, 121.91, 84.38, 0, 1, ok
63.296, 9.3196, 75.0569, -0.5356, -0.4120, 122.84, 86.08, 798.0000, 799.3940, 1, 122.84, 86.08, 0, 1, ok
63.998, 9.3196, 75.1224, -0.5376, -0.4536, 124.09, 87.11, 703.0000, 798.6970, 1, 124.09, 87.11, 0, 1, ok
64.801, 9.4557, 79.9096, -0.6572, -0.4225, 118.72, 81.08, 803.0000, 750.8485, 1, 118.72, 81.08, 0, 1, ok
65.568, 9.4611, 77.2276, -0.5342, -0.4110, 122.58, 86.97, 766.0000, 776.9243, 1, 122.58, 86.97, 0, 1, ok
66.269, 9.4683, 77.7744, -0.5170, -0.4308, 123.54, 88.53, 702.0000, 771.4621, 1, 123.54, 88.53, 0, 1, ok
67.074, 9.3671, 81.4408, -0.6581, -0.4231, 117.98, 80.93, 805.0000, 736.7311, 1, 117.98, 80.93, 0, 1, ok
67.838, 9.0387, 77.8346, -0.4919, -0.4099, 122.29, 87.67, 764.0000, 770.8655, 1, 122.29, 87.67, 0, 1, ok
68.609, 9.3119, 78.1827, -0.5615, -0.4751, 123.14, 86.83, 770.0000, 767.4328, 1, 123.14, 86.83, 0, 1, ok
69.362, 9.4496, 78.0522, -0.5143, -0.4286, 123.40, 88.58, 753.0000, 768.7164, 1, 123.40, 88.58, 0, 1, ok
70.015, 8.9860, 78.8583, -0.5259, -0.4382, 121.78, 86.58, 654.0000, 760.8582, 1, 121.78, 86.58, 0, 1, ok
70.750, 9.3778, 84.8142, -0.6560, -0.4037, 116.40, 81.04, 734.0000, 707.4291, 1, 116.40, 81.04, 0, 1, ok
71.585, 9.4095, 83.2507, -0.6294, -0.4046, 117.74, 82.38, 836.0000, 720.7145, 1, 117.74, 82.38, 0, 1, ok
72.356, 8.1189, 77.0854, -0.5132, -0.3553, 117.50, 81.44, 770.0000, 778.3573, 1, 117.50, 81.44, 0, 1, ok
73.118, 8.3963, 77.5015, -0.5571, -0.4286, 119.31, 82.21, 762.0000, 774.1786, 1, 119.31, 82.21, 0, 1, ok
73.956, 9.4567, 78.1159, -0.5630, -0.4331, 122.21, 86.15, 839.0000, 768.0893, 1, 122.21, 86.15, 0, 1, ok
74.667, 9.2954, 74.6692, -0.4315, -0.4720, 127.66, 93.12, 711.0000, 803.5447, 1, 127.66, 93.12, 0, 1, ok
75.423, 9.3305, 79.2317, -0.6034, -0.4641, 121.37, 84.51, 755.0000, 757.2723, 1, 121.37, 84.51, 0, 1, ok
76.233, 9.4060, 79.3508, -0.6119, -0.4371, 120.46, 83.63, 810.0000, 756.1362, 1, 120.46, 83.63, 0, 1, ok
77.027, 9.4806, 76.6217, -0.5296, -0.4074, 122.84, 87.10, 794.0000, 783.0681, 1, 122.84, 87.10, 0, 1, ok
77.724, 8.6779, 76.0906, -0.4987, -0.4572, 123.09, 86.97, 698.0000, 788.5340, 1, 123.09, 86.97, 0, 1, ok
78.593, 9.5285, 80.7247, -0.7092, -0.4255, 117.34, 78.79, 868.0000, 743.2670, 1, 117.34, 78.79, 0, 1, ok
79.437, 6.9832, 74.4756, -0.5323, -0.4182, 116.47, 77.44, 844.0000, 805.6335, 1, 116.47, 77.44, 0, 1, ok
80.139, 6.9832, 72.7434, -0.5474, -0.4301, 116.98, 76.71, 702.0000, 824.8168, 1, 116.98, 76.71, 0, 1, ok
80.901, 9.0942, 78.5949, -0.5641, -0.4701, 122.15, 85.78, 762.0000, 763.4084, 1, 122.15, 85.78, 0, 1, ok
81.677, 9.2995, 78.6675, -0.5197, -0.4764, 124.15, 89.11, 776.0000, 762.7042, 1, 124.15, 89.11, 0, 1, ok
82.450, 9.3390, 77.9877, -0.5528, -0.4678, 123.29, 87.17, 773.0000, 769.3521, 1, 123.29, 87.17, 0, 1, ok
83.177, 9.5731, 77.8032, -0.5123, -0.4269, 123.84, 89.08, 727.0000, 771.1760, 1, 123.84, 89.08, 0, 1, ok
83.884, 9.3208, 80.0974, -0.5447, -0.4539, 122.36, 87.45, 708.0000, 749.0880, 1, 122.36, 87.45, 0, 1, ok
84.649, 9.1295, 82.3560, -0.6992, -0.4181, 115.71, 77.83, 765.0000, 728.5440, 1, 115.71, 77.83, 0, 1, ok
