経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
39.543, 6.2074, 71.5349, -0.8003, -0.4237, 2.6959, 107.01, 72.24, 2.8324, 2.7057, 0.4222, -0.9065, -2.3978, 1.1168, 833.0000, 768.5039, 1, 26, 0.2062, 6.4372, 6.2310, 2.0091, 0.5606, 0.4394, 107.01, 72.24, 107.01, 72.24, 0, 0, 1, ok
40.314, 9.4885, 74.5920, -0.5083, -0.3267, 4.3169, 121.65, 75.38, 3.7765, 2.5771, 0.5350, -0.8448, -3.6265, 2.2966, 701.0000, 838.7520, 1, 22, 0.2298, 9.6951, 9.4653, 3.3183, 0.5621, 0.4379, 121.65, 75.38, 121.65, 75.38, 0, 0, 1, ok
41.178, 9.0908, 71.9262, -0.5571, -0.3857, 4.0954, 126.37, 89.28, 4.1009, 2.1212, 0.8523, -0.5230, -2.2785, 3.7128, 901.0000, 804.3760, 1, 28, 0.2066, 9.5450, 9.3384, 3.2190, 0.4739, 0.5261, 126.37, 89.28, 126.37, 89.28, 0, 0, 1, ok
41.980, 9.2553, 73.3412, -0.4965, -0.4965, 4.1272, 127.02, 87.47, 4.7849, 2.2271, 0.7923, -0.6102, -2.7595, 3.5831, 774.0000, 834.1880, 1, 24, 0.4541, 9.8072, 9.3530, 3.2682, 0.5181, 0.4819, 127.02, 87.47, 127.02, 87.47, 0, 0, 1, ok
42.820, 9.3774, 72.3723, -0.5761, -0.4526, 3.7929, 127.43, 90.69, 6.2013, 2.4149, 0.6644, -0.7474, -3.3602, 2.9871, 866.0000, 818.0940, 1, 27, 0.5519, 9.9286, 9.3767, 3.2811, 0.6155, 0.3845, 127.43, 90.69, 127.43, 90.69, 0, 0, 1, ok
43.646, 9.6445, 72.5055, -0.5107, -0.4321, 3.4672, 119.72, 81.95, 6.7267, 2.1870, 0.8161, -0.5780, -2.3538, 3.3235, 804.0000, 829.0470, 1, 25, 0.5511, 9.8069, 9.2558, 3.1311, 0.5846, 0.4154, 119.72, 81.95, 119.72, 81.95, 0, 0, 1, ok
44.421, 5.9051, 74.8819, -0.4794, -0.6392, 2.5429, 104.23, 66.47, 3.8748, 1.8797, 0.9527, -0.3040, -0.8895, 2.7874, 837.0000, 827.5235, 1, 26, 0.1624, 8.7333, 8.5709, 2.4545, 0.5568, 0.4432, 104.23, 66.47, 104.23, 66.47, 0, 0, 1, ok
45.216, 4.3491, 75.1286, -0.5535, -0.4684, 1.7550, 101.01, 63.12, 2.3299, 2.6083, 0.5084, -0.8611, -1.6306, 0.9627, 835.0000, 801.2617, 1, 26, 0.1494, 4.6678, 4.5185, 1.3898, 0.6000, 0.4000, 101.01, 63.12, 101.01, 63.12, 0, 0, 1, ok
46.021, 9.5339, 74.8302, -0.4560, -0.4560, 4.8071, 137.79, 97.77, 4.7008, 2.8377, 0.2993, -0.9542, -4.6284, 1.4517, 770.0000, 798.6309, 1, 24, 0.3188, 9.8109, 9.4922, 3.6292, 0.6130, 0.3870, 137.79, 97.77, 137.79, 97.77, 0, 0, 1, ok
46.793, 9.1664, 76.2478, -0.4509, -0.5317, 3.9960, 130.10, 94.33, 6.0347, 2.3592, 0.7050, -0.7092, -3.2611, 3.2414, 798.0000, 801.8154, 1, 25, 0.2770, 9.8637, 9.5866, 3.3591, 0.5852, 0.4148, 130.10, 94.33, 130.10, 94.33, 0, 0, 1, ok
