経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
24.393, 4.5244, 96.9933, 5.6193, 2.7005, 4.5244, 96.9933, 5.6193, 0.4269, -0.9043, 128.71, 94.68, 0.4269, -0.9043, -4.0914, 1.9314, 0.3884, 589.0000, 618.5996, 1, 19, 0.6795, 9.7954, 9.1159, 3.2227, 0.6214, 0.3786, 128.71, 94.68, 128.71, 94.68, 0, 0, 0, 1, ok, ok
24.958, 4.0390, 93.3417, 5.7636, 2.3694, 4.0390, 93.3417, 5.7636, 0.6977, -0.7164, 120.93, 87.64, 0.6977, -0.7164, -2.8936, 2.8180, 0.7380, 640.0000, 642.7998, 1, 20, 0.6099, 9.4049, 8.7950, 2.9498, 0.5750, 0.4250, 120.93, 87.64, 120.93, 87.64, 0, 0, 0, 1, ok, ok
25.525, 4.4955, 99.3542, 6.0407, 2.7519, 4.4955, 99.3542, 6.0407, 0.3799, -0.9250, 128.64, 95.31, 0.3799, -0.9250, -4.1584, 1.7080, 0.6635, 669.0000, 603.8999, 1, 21, 0.4950, 9.8223, 9.3273, 3.2473, 0.6532, 0.3468, 128.64, 95.31, 128.64, 95.31, 0, 0, 0, 1, ok, ok
26.231, 2.6292, 102.5729, 7.3493, 2.6782, 2.6292, 102.5729, 7.3493, 0.4470, -0.8945, 117.72, 89.16, 0.4470, -0.8945, -2.3519, 1.1752, 0.2945, 566.0000, 584.9500, 1, 18, 4.4649, 9.8334, 5.3685, 1.8823, 0.6466, 0.3534, 117.72, 89.16, 117.72, 89.16, 0, 0, 0, 1, ok, ok
26.796, 2.5920, 92.9548, 6.9650, 2.4333, 2.5920, 92.9548, 6.9650, 0.6505, -0.7595, 115.40, 84.12, 0.6505, -0.7595, -1.9685, 1.6862, 0.3629, 569.0000, 645.4750, 1, 18, 4.0910, 9.6342, 5.5431, 1.8684, 0.5835, 0.4165, 115.40, 84.12, 115.40, 84.12, 0, 0, 0, 1, ok, ok
27.436, 4.4733, 99.4633, 5.7668, 2.4270, 4.4733, 99.4633, 5.7668, 0.6553, -0.7554, 122.51, 90.70, 0.6553, -0.7554, -3.3790, 2.9314, 0.6285, 700.0000, 603.2375, 1, 22, 0.4824, 9.8998, 9.4174, 3.2250, 0.5757, 0.4243, 122.51, 90.70, 122.51, 90.70, 0, 0, 0, 1, ok, ok
28.094, 2.7238, 96.1356, 7.2383, 2.4426, 2.7238, 96.1356, 7.2383, 0.6434, -0.7655, 115.21, 84.91, 0.6434, -0.7655, -2.0851, 1.7526, 0.2379, 573.0000, 624.1187, 1, 18, 4.3868, 9.8107, 5.4239, 1.9407, 0.5951, 0.4049, 115.21, 84.91, 115.21, 84.91, 0, 0, 0, 1, ok, ok
28.744, 2.4382, 93.5951, 7.3086, 2.3013, 2.4382, 93.5951, 7.3086, 0.7448, -0.6672, 111.58, 81.23, 0.7448, -0.6672, -1.6268, 1.8160, 0.5037, 630.0000, 641.0594, 1, 20, 4.4648, 9.7499, 5.2851, 1.7961, 0.5905, 0.4095, 111.58, 81.23, 111.58, 81.23, 0, 0, 0, 1, ok, ok
29.369, 4.1602, 92.9469, 5.4857, 2.4907, 4.1602, 92.9469, 5.4857, 0.6059, -0.7955, 124.23, 90.16, 0.6059, -0.7955, -3.3095, 2.5207, 0.6738, 664.0000, 645.5297, 1, 21, 0.4150, 9.5205, 9.1056, 3.0179, 0.6024, 0.3976, 124.23, 90.16, 124.23, 90.16, 0, 0, 0, 1, ok, ok
29.988, 4.0856, 94.4488, 5.4829, 2.6466, 4.0856, 94.4488, 5.4829, 0.4750, -0.8800, 126.55, 92.55, 0.4750, -0.8800, -3.5953, 1.9407, 0.6521, 646.0000, 635.2648, 1, 20, 0.4510, 9.4537, 9.0027, 2.9616, 0.6409, 0.3591, 126.55, 92.55, 126.55, 92.55, 0, 0, 0, 1, ok, ok
30.609, 3.8529, 95.9030, 5.0634, 2.7302, 3.8529, 95.9030, 5.0634, 0.3998, -0.9166, 126.94, 93.60, 0.3998, -0.9166, -3.5315, 1.5406, 0.6869, 629.0000, 625.6324, 1, 20, 0.5124, 8.7643, 8.2519, 2.8097, 0.6343, 0.3657, 126.94, 93.60, 126.94, 93.60, 0, 0, 0, 1, ok, ok
31.278, 4.6352, 96.0282, 5.1501, 2.7886, 4.6352, 96.0282, 5.1501, 0.3457, -0.9383, 131.21, 96.24, 0.3457, -0.9383, -4.3493, 1.6025, 0.3947, 617.0000, 624.8162, 1, 19, 0.5300, 9.7610, 9.2310, 3.3012, 0.6191, 0.3809, 131.21, 96.24, 131.21, 96.24, 0, 0, 0, 1, ok, ok
31.847, 4.3889, 92.7489, 5.3303, 2.3601, 4.3889, 92.7489, 5.3303, 0.7044, -0.7098, 122.65, 88.59, 0.7044, -0.7098, -3.1154, 3.0914, 0.4734, 618.0000, 646.9081, 1, 20, 0.5147, 9.4816, 8.9669, 3.1393, 0.5858, 0.4142, 122.65, 88.59, 122.65, 88.59, 0, 0, 0, 1, ok, ok
32.445, 4.3889, 92.7489, 5.3303, 2.3601, 4.3889, 92.7489, 5.3303, 0.7044, -0.7098, 122.65, 88.59, 0.7044, -0.7098, -3.1154, 3.0914, 0.4734, 618.0000, 646.9081, 1, 20, 0.5147, 9.4816, 8.9669, 3.1393, 0.5858, 0.4142, 122.65, 88.59, 122.65, 88.59, 0, 0, 0, 1, ok, ok
33.121, 2.5095, 0.0000, 4.3535, 2.5401, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.65, 88.59, 0.5659, -0.8245, -2.0691, 1.4200, 1.3993, 747.0000, 0.0000, 0, 23, 0.4027, 8.2070, 7.8042, 2.2598, 0.6452, 0.3548, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit
33.652, 0.9994, 0.0000, 6.0539, 4.9469, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.65, 88.59, -0.9726, 0.2323, 0.2322, -0.9721, 2.9985, 1090.0000, 0.0000, 0, 34, 0.8285, 9.8158, 8.9874, 3.0807, 0.8826, 0.1174, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
34.285, 3.4351, 102.5103, 5.0077, 2.6058, 3.4351, 102.5103, 5.0077, 0.5105, -0.8599, 121.30, 91.93, 0.5105, -0.8599, -2.9537, 1.7537, 0.8836, 672.0000, 585.3068, 1, 21, 0.6632, 7.9523, 7.2891, 2.5847, 0.6548, 0.3452, 121.30, 91.93, 121.30, 91.93, 0, 0, 0, 1, ok, ok
34.882, 4.3842, 98.4974, 5.0970, 2.8939, 4.3842, 98.4974, 5.0970, 0.2451, -0.9695, 131.19, 97.13, 0.2451, -0.9695, -4.2504, 1.0748, 0.2351, 535.0000, 609.1534, 1, 17, 0.6857, 9.5932, 8.9074, 3.1090, 0.7009, 0.2991, 131.19, 97.13, 131.19, 97.13, 0, 0, 0, 1, ok, ok
35.513, 4.0218, 99.5724, 5.2326, 2.6256, 4.0218, 99.5724, 5.2326, 0.4934, -0.8698, 124.78, 93.08, 0.4934, -0.8698, -3.4982, 1.9843, 0.6627, 631.0000, 602.5767, 1, 20, 0.6417, 9.1525, 8.5108, 2.9200, 0.6387, 0.3613, 124.78, 93.08, 124.78, 93.08, 0, 0, 0, 1, ok, ok
36.060, 3.5378, 97.1993, 4.5583, 2.6764, 3.5378, 97.1993, 4.5583, 0.4486, -0.8937, 124.62, 92.69, 0.4486, -0.8937, -3.1618, 1.5871, 0.4541, 602.0000, 617.2883, 1, 19, 0.5508, 7.5442, 6.9934, 2.5424, 0.6262, 0.3738, 124.62, 92.69, 124.62, 92.69, 0, 0, 0, 1, ok, ok
36.664, 4.0253, 103.1559, 4.7938, 2.7695, 4.0253, 103.1559, 4.7938, 0.3636, -0.9316, 126.73, 95.85, 0.3636, -0.9316, -3.7498, 1.4635, 0.3180, 640.0000, 581.6442, 1, 20, 0.4513, 8.7292, 8.2779, 2.8640, 0.6359, 0.3641, 126.73, 95.85, 126.73, 95.85, 0, 0, 0, 1, ok, ok
37.289, 4.0253, 103.1559, 4.7938, 2.7695, 4.0253, 103.1559, 4.7938, 0.3636, -0.9316, 126.73, 95.85, 0.3636, -0.9316, -3.7498, 1.4635, 0.3180, 640.0000, 581.6442, 1, 20, 0.4513, 8.7292, 8.2779, 2.8640, 0.6359, 0.3641, 126.73, 95.85, 126.73, 95.85, 0, 0, 0, 1, ok, ok
37.930, 3.8206, 98.5770, 5.7425, 2.8069, 3.8206, 98.5770, 5.7425, 0.3285, -0.9445, 127.01, 94.33, 0.3285, -0.9445, -3.6085, 1.2552, 0.5492, 718.0000, 608.6610, 1, 17, 1.7020, 9.6456, 7.9436, 2.7568, 0.7340, 0.2660, 127.01, 94.33, 127.01, 94.33, 0, 0, 0, 1, ok, ok
38.523, 1.7297, 0.0000, 5.5947, 1.1713, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 127.01, 94.33, 0.9212, 0.3890, 0.6728, 1.5935, 2.6467, 1052.0000, 0.0000, 0, 33, 0.5726, 9.6469, 9.0744, 2.9157, 0.3470, 0.6530, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
39.164, 4.5304, 98.4954, 5.8779, 2.4897, 4.5304, 98.4954, 5.8779, 0.6067, -0.7949, 124.21, 91.65, 0.6067, -0.7949, -3.6013, 2.7487, 0.6033, 627.0000, 609.1653, 1, 20, 0.6311, 9.9475, 9.3164, 3.2598, 0.5821, 0.4179, 124.21, 91.65, 124.21, 91.65, 0, 0, 0, 1, ok, ok
39.795, 3.1895, 95.9873, 6.8767, 2.1602, 3.1895, 95.9873, 6.8767, 0.8313, -0.5558, 111.40, 81.11, 0.8313, -0.5558, -1.7729, 2.6514, 0.8593, 604.0000, 625.0826, 1, 19, 2.0220, 9.7407, 7.7187, 2.4135, 0.5033, 0.4967, 111.40, 81.11, 111.40, 81.11, 0, 0, 0, 1, ok, ok
40.463, 4.5364, 95.5351, 5.7467, 2.4836, 4.5364, 95.5351, 5.7467, 0.6115, -0.7912, 124.91, 91.20, 0.6115, -0.7912, -3.5893, 2.7741, 0.5002, 632.0000, 628.0413, 1, 20, 0.6177, 9.8274, 9.2097, 3.2465, 0.5949, 0.4051, 124.91, 91.20, 124.91, 91.20, 0, 0, 0, 1, ok, ok
41.036, 3.5953, 92.5896, 6.4078, 2.3974, 3.5953, 92.5896, 6.4078, 0.6774, -0.7356, 119.40, 86.41, 0.6774, -0.7356, -2.6448, 2.4354, 0.8225, 637.0000, 648.0207, 1, 20, 1.5876, 9.7251, 8.1375, 2.6720, 0.5761, 0.4239, 119.40, 86.41, 119.40, 86.41, 0, 0, 0, 1, ok, ok
41.635, 4.0968, 98.2784, 5.3605, 2.5593, 4.0968, 98.2784, 5.3605, 0.5499, -0.8352, 124.08, 92.00, 0.5499, -0.8352, -3.4217, 2.2530, 0.6922, 666.0000, 610.5103, 1, 21, 0.5382, 9.2693, 8.7311, 2.9784, 0.6066, 0.3934, 124.08, 92.00, 124.08, 92.00, 0, 0, 0, 1, ok, ok
