経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, E_used, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
106.788, 8.7810, 96.1642, -0.4655, -0.4655, 3.3017, 5.0983, 96.1642, -0.5181, -0.3626, 3.3017, 106.95, 76.04, 5.6298, 2.3150, 0.7356, -0.6774, -2.5062, 2.7215, 641.0000, 623.9330, 1, 20, 1.1645, 9.2443, 8.0798, 2.7485, 0.5710, 0.4290, 106.95, 76.04, 106.95, 76.04, 0, 0, 1, 1, A:8.7810->5.0983, ok
107.381, 7.8294, 103.1874, -0.6122, -0.4286, 3.5731, 5.0983, 103.1874, -0.4655, -0.4655, 3.5731, 113.63, 85.84, 4.6880, 2.7018, 0.4257, -0.9048, -3.5692, 1.6793, 632.0000, 581.4665, 1, 20, 0.4633, 8.4637, 8.0004, 2.8016, 0.6297, 0.3703, 113.63, 85.84, 113.63, 85.84, 0, 0, 1, 1, A:7.8294->5.0983, ok
107.953, 7.8635, 102.2611, -0.6132, -0.3902, 3.6364, 5.0983, 102.2611, -0.6122, -0.4286, 3.6364, 108.25, 76.31, 4.9608, 2.6404, 0.4805, -0.8770, -3.5121, 1.9241, 538.0000, 586.7333, 1, 17, 0.6343, 8.5216, 7.8873, 2.8448, 0.6190, 0.3810, 108.25, 76.31, 108.25, 76.31, 0, 0, 1, 1, A:7.8635->5.0983, ok
108.584, 7.5204, 103.4721, -0.6335, -0.3455, 3.7594, 5.0983, 103.4721, -0.6132, -0.3902, 3.7594, 108.72, 77.06, 5.5153, 2.4885, 0.6077, -0.7942, -3.4324, 2.6262, 602.0000, 579.8666, 1, 19, 0.6580, 9.6636, 9.0056, 3.0916, 0.6146, 0.3854, 108.72, 77.06, 108.72, 77.06, 0, 0, 1, 1, A:7.5204->5.0983, ok
109.148, 8.8905, 99.1026, -0.5737, -0.4168, 3.3103, 5.0983, 99.1026, -0.6335, -0.3455, 3.3103, 101.81, 69.25, 5.9953, 2.3116, 0.7379, -0.6749, -2.3801, 2.6024, 559.0000, 605.4333, 1, 18, 2.1433, 9.5550, 7.4117, 2.5597, 0.5259, 0.4741, 101.81, 69.25, 101.81, 69.25, 0, 0, 1, 1, A:8.8905->5.0983, ok
109.752, 7.2770, 102.6138, -0.5266, -0.3511, 4.0318, 5.0983, 102.6138, -0.5737, -0.4168, 4.0318, 114.52, 82.64, 5.4394, 2.4897, 0.6067, -0.7949, -3.4826, 2.6580, 643.0000, 584.7167, 1, 20, 0.6644, 9.6852, 9.0208, 3.1308, 0.5708, 0.4292, 114.52, 82.64, 114.52, 82.64, 0, 0, 1, 1, A:7.2770->5.0983, ok
110.327, 7.5821, 101.0342, -0.5473, -0.4925, 3.3133, 5.0983, 101.0342, -0.5266, -0.3511, 3.3133, 105.66, 76.58, 6.1644, 2.5326, 0.5720, -0.8202, -2.9352, 2.0470, 556.0000, 593.8583, 1, 18, 2.4082, 9.6665, 7.2583, 2.5683, 0.5809, 0.4191, 105.66, 76.58, 105.66, 76.58, 0, 0, 1, 1, A:7.5821->5.0983, ok
111.497, 7.3571, 102.5765, -0.7448, -0.4010, 3.4212, 5.0983, 102.5765, -0.5473, -0.4925, 3.4212, 109.31, 79.53, 6.2722, 2.6240, 0.4948, -0.8690, -3.2222, 1.8347, 604.0000, 584.9292, 1, 19, 2.0845, 9.7252, 7.6407, 2.6480, 0.5993, 0.4007, 109.31, 79.53, 109.31, 79.53, 0, 0, 1, 1, A:7.3571->5.0983, ok
112.067, 7.3571, 0.0000, -0.8462, -0.2256, 3.4212, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 109.31, 79.53, 6.2722, 2.5602, 0.5492, -0.8357, -3.0831, 2.0262, 1046.0000, 0.0000, 0, 18, 2.3680, 9.7493, 7.3813, 2.6401, 0.7667, 0.2333, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
112.662, 6.6268, 82.9036, -0.5789, -0.4632, 3.2314, 5.0983, 82.9036, -0.5193, -0.4632, 3.2314, 110.64, 74.00, 6.1291, 1.8738, 0.9544, -0.2984, -1.1509, 3.6816, 700.0000, 723.7323, 1, 22, 0.6647, 9.7497, 9.0850, 2.9394, 0.5329, 0.4671, 110.64, 74.00, 110.64, 74.00, 0, 0, 1, 1, A:6.6268->5.0983, ok
113.297, 6.2812, 90.9965, -0.6101, -0.4437, 2.8597, 5.0983, 90.9965, -0.5789, -0.4632, 2.8597, 102.13, 68.41, 6.6714, 2.3754, 0.6934, -0.7205, -2.3457, 2.2574, 567.0000, 659.3661, 1, 18, 3.1228, 9.7199, 6.5971, 2.3287, 0.5838, 0.4162, 102.13, 68.41, 102.13, 68.41, 0, 0, 1, 1, A:6.2812->5.0983, ok
113.869, 8.9906, 92.7095, -0.5197, -0.4157, 2.5854, 5.0983, 92.7095, -0.6101, -0.4437, 2.5854, 96.62, 63.67, 6.7133, 2.2960, 0.7484, -0.6633, -1.9234, 2.1702, 601.0000, 647.1831, 1, 19, 3.4387, 9.6193, 6.1806, 2.1134, 0.5607, 0.4393, 96.62, 63.67, 96.62, 63.67, 0, 0, 1, 1, A:8.9906->5.0983, ok
114.437, 8.6084, 98.5074, -0.5779, -0.4046, 3.6711, 5.0983, 98.5074, -0.5197, -0.4157, 3.6711, 112.54, 81.33, 5.2532, 2.4269, 0.6554, -0.7553, -3.0992, 2.6893, 630.0000, 609.0915, 1, 20, 0.6287, 9.3333, 8.7046, 2.9438, 0.5794, 0.4206, 112.54, 81.33, 112.54, 81.33, 0, 0, 1, 1, A:8.6084->5.0983, ok
115.306, 8.9049, 101.9462, -0.7553, -0.4067, 3.8005, 5.0983, 101.9462, -0.5779, -0.4046, 3.8005, 111.18, 79.60, 5.4522, 2.4733, 0.6196, -0.7849, -3.3011, 2.6059, 579.0000, 588.5458, 1, 18, 0.7249, 9.6010, 8.8761, 3.0043, 0.5855, 0.4145, 111.18, 79.60, 111.18, 79.60, 0, 0, 1, 1, A:8.9049->5.0983, ok
115.638, 9.1852, 82.2737, -0.9500, -0.4931, 3.4094, 5.0983, 82.2737, -0.7553, -0.4067, 3.4094, 102.90, 59.73, 5.2507, 2.3211, 0.7315, -0.6819, -2.7008, 2.8971, 563.0000, 729.2729, 1, 18, 0.6961, 9.4045, 8.7085, 2.9001, 0.5968, 0.4032, 102.90, 59.73, 102.90, 59.73, 0, 0, 1, 1, A:9.1852->5.0983, ok
