経過時間,現在時刻,計測回数,Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
273.991624833,2026-04-02T18:13:24,54,422.000000000,388.549019608,371.000000000,120.029217272
274.530878917,2026-04-02T18:13:25,55,422.000000000,396.454545455,372.000000000,111.264804070
275.170344917,2026-04-02T18:13:26,56,422.000000000,386.907692308,357.000000000,93.828287978
275.771766583,2026-04-02T18:13:26,57,415.000000000,362.721311475,339.000000000,99.763615766
276.391721292,2026-04-02T18:13:27,58,405.000000000,356.460317460,340.000000000,96.781263420
277.080238542,2026-04-02T18:13:27,59,412.000000000,370.214285714,348.000000000,87.143786158
277.661963833,2026-04-02T18:13:28,60,412.000000000,370.474576271,352.000000000,103.141467164
278.290379000,2026-04-02T18:13:29,61,403.000000000,364.625000000,340.000000000,95.478281160
278.941730042,2026-04-02T18:13:29,62,401.000000000,364.015151515,340.000000000,92.116226322
279.621438000,2026-04-02T18:13:30,63,401.000000000,360.173913043,334.000000000,88.273205123
280.340292542,2026-04-02T18:13:31,64,398.000000000,357.739726027,333.000000000,83.466120744
281.071747000,2026-04-02T18:13:31,65,397.000000000,351.135135135,329.000000000,82.028346869
281.771759417,2026-04-02T18:13:32,66,395.000000000,350.605633803,328.000000000,85.712765292
282.490571167,2026-04-02T18:13:33,67,395.000000000,346.068493151,323.000000000,83.471089614
283.231306417,2026-04-02T18:13:34,68,395.000000000,346.240000000,323.000000000,81.000600417
283.941159042,2026-04-02T18:13:34,69,394.000000000,344.958333333,323.000000000,84.524587058
284.681660167,2026-04-02T18:13:35,70,393.000000000,347.800000000,333.000000000,81.026210460
300.090355333,2026-04-02T18:13:50,71,384.000000000,370.511627907,357.000000000,143.339106610
300.500875292,2026-04-02T18:13:51,72,414.000000000,381.309523810,352.000000000,146.156109306
300.911840708,2026-04-02T18:13:51,73,384.000000000,367.857142857,357.000000000,145.997686579
301.720564417,2026-04-02T18:13:52,74,391.000000000,369.547619048,356.000000000,146.793988465
302.131428792,2026-04-02T18:13:52,75,390.000000000,370.023809524,358.000000000,146.033590768
302.540425583,2026-04-02T18:13:53,76,417.000000000,383.309523810,355.000000000,146.700417510
303.021616958,2026-04-02T18:13:53,77,424.000000000,378.081632653,359.000000000,124.690514247
303.441830917,2026-04-02T18:13:54,78,424.000000000,380.186046512,365.000000000,142.784404742
303.932157167,2026-04-02T18:13:54,79,429.000000000,384.560000000,356.000000000,122.367505309
304.388821958,2026-04-02T18:13:55,80,427.000000000,377.456521739,364.000000000,131.387400961
305.121834708,2026-04-02T18:13:55,81,429.000000000,381.266666667,361.000000000,81.853965023
305.910793167,2026-04-02T18:13:56,82,429.000000000,383.487500000,361.000000000,76.049631404
306.691711833,2026-04-02T18:13:57,83,426.000000000,377.177215190,350.000000000,76.832585277
307.442098417,2026-04-02T18:13:58,84,425.000000000,373.526315789,346.000000000,79.958785617
308.221714625,2026-04-02T18:13:59,85,417.000000000,370.658227848,345.000000000,76.960944865
309.017499708,2026-04-02T18:13:59,86,417.000000000,368.065789474,340.000000000,75.397241393
309.781440500,2026-04-02T18:14:00,87,408.000000000,366.207317073,338.000000000,78.540118067
310.531733208,2026-04-02T18:14:01,88,403.000000000,363.000000000,335.000000000,79.968789994
311.301691542,2026-04-02T18:14:02,89,401.000000000,359.974358974,332.000000000,77.926294645
312.061740500,2026-04-02T18:14:02,90,395.000000000,355.454545455,327.000000000,78.942283084
312.861721875,2026-04-02T18:14:03,91,392.000000000,351.197530864,324.000000000,75.001746134
313.661627792,2026-04-02T18:14:04,92,391.000000000,348.728395062,322.000000000,75.008821319
314.461744375,2026-04-02T18:14:05,93,389.000000000,348.012345679,321.000000000,74.989071936
315.261735917,2026-04-02T18:14:06,94,385.000000000,344.444444444,319.000000000,75.000792946
316.040456458,2026-04-02T18:14:06,95,384.000000000,346.911392405,321.000000000,77.049463628
316.841244833,2026-04-02T18:14:07,96,381.000000000,337.617283951,312.000000000,74.926162608
