session_id,elapsed_s,sample_index,effective_rate_hz,waveform_label,wave_bpm,peak_like,trough_like
cnap_20260402_165206,113.971940958,11398,100.007071076,ch2,135.278514589,199.111111111,196.000000000
cnap_20260402_165206,114.981463583,11499,100.007424168,ch2,125.162972621,199.117647059,196.000000000
cnap_20260402_165206,115.991859416,11600,100.007018237,ch2,127.320954907,199.117647059,196.062500000
cnap_20260402_165206,117.001688000,11701,100.007104171,ch2,130.601792574,199.111111111,196.058823529
cnap_20260402_165206,118.011808458,11802,100.006941290,ch2,132.295719844,199.111111111,196.058823529
cnap_20260402_165206,119.021787875,11903,100.006899682,ch2,124.837451235,199.176470588,196.000000000
cnap_20260402_165206,120.032060708,12004,100.006614310,ch2,128.514056225,199.176470588,195.937500000
cnap_20260402_165206,121.040104041,12105,100.008175769,ch2,128.140703518,199.111111111,195.941176471
cnap_20260402_165206,122.041475583,12205,100.006984852,ch2,130.769230769,199.055555556,195.941176471
cnap_20260402_165206,123.050653291,12306,100.007595822,ch2,130.937098845,199.055555556,195.941176471
cnap_20260402_165206,124.061665875,12407,100.006717728,ch2,127.829560586,199.058823529,195.875000000
cnap_20260402_165206,125.062172375,12507,100.006258987,ch2,132.124352332,199.111111111,195.764705882
cnap_20260402_165206,126.071084791,12608,100.007071573,ch2,123.076923077,199.235294118,195.687500000
cnap_20260402_165206,127.081491916,12709,100.006694983,ch2,121.518987342,199.176470588,195.750000000
cnap_20260402_165206,128.083146791,12809,100.005350594,ch2,123.870967742,199.176470588,195.812500000
cnap_20260402_165206,129.112127458,12912,100.006097446,ch2,125.984251969,199.176470588,195.812500000
cnap_20260402_165206,130.123436166,13013,100.005044313,ch2,124.352331606,199.176470588,195.812500000
cnap_20260402_165206,131.132029541,13114,100.006078194,ch2,123.552123552,199.176470588,195.812500000
cnap_20260402_165206,132.140788541,13215,100.006970943,ch2,123.966942149,199.187500000,195.866666667
cnap_20260402_165206,133.151848791,13316,100.006121739,ch2,124.352331606,199.235294118,195.875000000
cnap_20260402_165206,134.161119791,13417,100.006619063,ch2,134.742404227,199.111111111,196.000000000
cnap_20260402_165206,135.170776583,13518,100.006823529,ch2,127.659574468,199.176470588,195.937500000
cnap_20260402_165206,136.182015708,13619,100.005862956,ch2,132.295719844,199.166666667,195.941176471
cnap_20260402_165206,137.191485333,13720,100.006206411,ch2,132.812500000,199.166666667,195.941176471
cnap_20260402_165206,138.201858708,13821,100.005890870,ch2,136.729222520,199.166666667,195.941176471
cnap_20260402_165206,139.210771666,13922,100.006629037,ch2,131.782945736,199.166666667,195.941176471
cnap_20260402_165206,140.221959500,14023,100.005734123,ch2,134.210526316,199.277777778,196.000000000
cnap_20260402_165206,141.231817125,14124,100.005793932,ch2,132.467532468,199.166666667,196.000000000
cnap_20260402_165206,142.241509208,14225,100.005969279,ch2,135.458167331,199.166666667,196.000000000
