経過時間,現在時刻,計測回数,Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
36.291398750,2026-04-02T17:14:58,42,622.000000000,200.000000000,1021.000000000,1021.000000000
37.071453292,2026-04-02T17:14:59,43,562.000000000,200.000000000,1020.000000000,1021.000000000
37.750912917,2026-04-02T17:15:00,44,592.000000000,200.000000000,1021.000000000,1021.000000000
42.611618833,2026-04-02T17:15:04,45,452.000000000,202.000000000,1019.000000000,1021.000000000
43.251475375,2026-04-02T17:15:05,46,465.000000000,200.000000000,1021.000000000,1020.000000000
43.911452333,2026-04-02T17:15:06,47,488.000000000,202.000000000,1020.000000000,1020.000000000
44.551593375,2026-04-02T17:15:06,48,470.000000000,201.000000000,1021.000000000,1021.000000000
45.239051958,2026-04-02T17:15:07,49,471.000000000,201.000000000,1020.000000000,1020.000000000
45.950358125,2026-04-02T17:15:08,50,462.000000000,200.000000000,1021.000000000,1020.000000000
46.531483167,2026-04-02T17:15:08,51,485.000000000,200.000000000,1020.000000000,1021.000000000
47.221382208,2026-04-02T17:15:09,52,507.000000000,200.000000000,1021.000000000,1021.000000000
47.631455958,2026-04-02T17:15:09,53,509.000000000,201.000000000,1020.000000000,1021.000000000
48.138117000,2026-04-02T17:15:10,54,509.000000000,201.000000000,1020.000000000,1021.000000000
48.671647542,2026-04-02T17:15:10,55,509.000000000,201.000000000,1021.000000000,1021.000000000
49.311753417,2026-04-02T17:15:11,56,516.000000000,200.000000000,1020.000000000,1020.000000000
49.981593792,2026-04-02T17:15:12,57,581.000000000,202.000000000,1019.000000000,1020.000000000
50.681402542,2026-04-02T17:15:12,58,578.000000000,200.000000000,1019.000000000,1021.000000000
51.950847875,2026-04-02T17:15:14,59,627.000000000,200.000000000,1020.000000000,1021.000000000
52.611701875,2026-04-02T17:15:14,60,544.000000000,201.000000000,1021.000000000,1020.000000000
53.251701958,2026-04-02T17:15:15,61,552.000000000,201.000000000,1021.000000000,1020.000000000
