method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_RICH_DYNAMIC,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,2.387302732265214,3.2210354876262235,0.2077135948406698,-0.1501310026122288,3.5851694357976993,-0.23226405138376946
RTBP_RICH_DYNAMIC,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",97,1.1998569890540656,1.6183890602785143,0.2066653035710409,0.08213304877154065,3.5851694357976993,-0.23226405138376946
SinBP_D_RICH_DYNAMIC,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.2674615144347627,3.012811742352606,0.2825080981175218,0.12554709696718572,3.4127918723746067,0.18356066272959654
SinBP_D_RICH_DYNAMIC,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.1456725047402836,1.5172406138543417,0.28346469053133766,-0.058013565762410825,3.4127918723746067,0.18356066272959654
SinBP_D_RICH_DYNAMIC,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.2160916166636455,2.9610832066264976,0.34313626101573774,0.11967196507432921,3.3306104231644755,0.17429820983211725
SinBP_D_RICH_DYNAMIC,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.1181362324033826,1.4918363383944409,0.3440280376142024,-0.05462624475778802,3.3306104231644755,0.17429820983211725
SinBP_D_RICH_DYNAMIC,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,2.2160916166636455,2.9610832066264976,0.34313626101573774,0.11967196507432921,3.3306104231644755,0.17429820983211725
SinBP_D_RICH_DYNAMIC,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",86,1.1181362324033826,1.4918363383944409,0.3440280376142024,-0.05462624475778802,3.3306104231644755,0.17429820983211725
SinBP_M_RICH_DYNAMIC,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,2.172808168523464,3.0372015393369978,0.29340874944949,-0.325429153917421,3.254830939493611,-0.4965315144102491
SinBP_M_RICH_DYNAMIC,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.084062579511353,1.519643906292387,0.297348217508332,0.17110236049282815,3.254830939493611,-0.4965315144102491
SinBP_M_RICH_DYNAMIC,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,2.1066519541146174,2.9629323302349646,0.390145758206211,-0.35056942427379795,3.1530638142187515,-0.5341703113965033
SinBP_M_RICH_DYNAMIC,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.0494614649805536,1.4825350933705153,0.3945156102511051,0.18360088712270528,3.1530638142187515,-0.5341703113965033
SinBP_M_RICH_DYNAMIC,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,2.1066519541146174,2.9629323302349646,0.390145758206211,-0.35056942427379795,3.1530638142187515,-0.5341703113965033
SinBP_M_RICH_DYNAMIC,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",75,1.0494614649805536,1.4825350933705153,0.3945156102511051,0.18360088712270528,3.1530638142187515,-0.5341703113965033
