n,groups,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd,axis,target,split,window_s,method
444,11,22.033861885205678,23.767077335413568,-0.5581158001090333,14.519233387591747,14.832026049312498,0.5948406072978881,absolute,ref_SBP,logo,20,SinBP_D_full
444,11,21.9337411926715,23.653815429995742,-0.4375990054310772,14.415658316317295,14.721760389323403,0.6303889788845873,absolute,ref_SBP,logo,20,SinBP_D_no_stiff
446,11,26.586771497614087,26.804925162659515,0.2,19.607955059680712,19.53164863124986,1.0327955589886444,absolute,ref_SBP,logo,30,RTBP
455,11,24.295020943623182,24.616768122229757,0.2,16.695345527374776,16.651793850559446,1.0327955589886444,absolute,ref_SBP,logo,30,SinBP_M
444,11,22.734621127061565,23.07031555266295,-0.2,15.623145261857799,15.601354947534052,1.0327955589886444,absolute,ref_SBP,logo,30,SinBP_D_full
444,11,22.650329141394728,22.97675547355073,-0.19999999999999998,15.515185270663734,15.497508585780889,1.0327955589886444,absolute,ref_SBP,logo,30,SinBP_D_no_stiff
446,11,16.128826136337057,22.50550999270593,0.1683435616520918,2.8942635064631905,7.590590590511427,0.23742378367943903,absolute,ref_DBP,timeseries,0,RTBP
455,11,15.21364331108301,19.76345345150158,0.2609507032159245,1.4408055608270995,1.6258814291272499,0.14898844962911229,absolute,ref_DBP,timeseries,0,SinBP_M
444,11,15.324530542591043,20.688056406864145,0.27588505988195716,1.6741253597618686,3.449377410542584,0.13972484512442565,absolute,ref_DBP,timeseries,0,SinBP_D_full
444,11,14.796380747584658,19.284125825776258,0.2773993820159534,1.4860902996075673,2.0448707787592224,0.12207467742157162,absolute,ref_DBP,timeseries,0,SinBP_D_no_stiff
446,11,16.579253204945363,22.93761659401367,0.15171110045841948,3.782140696552647,8.116864968021082,0.37669300553018303,absolute,ref_DBP,timeseries,10,RTBP
455,11,15.847861238563933,20.332787762800038,0.1867116575669865,2.0007540182015795,2.7303449167297917,0.2759055876853289,absolute,ref_DBP,timeseries,10,SinBP_M
444,11,15.788294769668784,20.044734230082508,0.2927554536905591,1.8622789533899744,2.38972033498353,0.33143374018101096,absolute,ref_DBP,timeseries,10,SinBP_D_full
444,11,15.770931284429697,19.749020401323193,0.273910186041367,1.8635175507730166,2.4033545363816007,0.3101965079363514,absolute,ref_DBP,timeseries,10,SinBP_D_no_stiff
446,11,16.573234683568437,22.984386471577597,0.21899815632202307,3.810471771166863,8.126440620702912,0.4091931440715966,absolute,ref_DBP,timeseries,20,RTBP
455,11,16.185348917806582,20.618975351492658,0.23980885605624486,2.244662738648331,2.8293453990751822,0.33329861673883243,absolute,ref_DBP,timeseries,20,SinBP_M
444,11,15.63189717510329,19.809834367553755,0.37612873447369133,2.236419952634149,2.8934551218002267,0.35484572000649595,absolute,ref_DBP,timeseries,20,SinBP_D_full
444,11,15.643548044639164,19.574519853699393,0.36665108040400696,2.2140275189605263,2.9264038069516447,0.3669420525847402,absolute,ref_DBP,timeseries,20,SinBP_D_no_stiff
446,11,17.637954608275788,24.973080320980507,0.14856144088851658,4.339213776282818,10.619906951476036,0.4117007390953895,absolute,ref_DBP,timeseries,30,RTBP
455,11,16.610886999254255,20.918631882899327,0.26927066946011396,3.209387328055115,3.913279938863494,0.3255778412118007,absolute,ref_DBP,timeseries,30,SinBP_M
444,11,16.59486282422706,21.01364601464372,0.2794423712529697,2.821054875278308,3.38791979791605,0.34717582815705705,absolute,ref_DBP,timeseries,30,SinBP_D_full
444,11,16.603097954103553,20.6570604871649,0.25794403780809294,2.7806249573620363,3.460012908508756,0.3368648698926881,absolute,ref_DBP,timeseries,30,SinBP_D_no_stiff
446,11,19.530728814238717,22.288712592812768,-0.03285586116205762,12.615422162056403,12.964824619166539,0.45254120313595536,absolute,ref_DBP,groupkfold,0,RTBP
455,11,18.36543232936314,21.498342967579635,0.06223325468284413,12.106197690976321,12.1683708212788,0.38045885960640574,absolute,ref_DBP,groupkfold,0,SinBP_M
444,11,18.84757981952391,21.70983201653953,0.06936381461718022,12.603501026913035,12.83777020439317,0.3651136512524732,absolute,ref_DBP,groupkfold,0,SinBP_D_full
444,11,18.75815328001763,21.59086829144412,0.075989395637198,12.564586078054218,12.76820385643013,0.3619528763569312,absolute,ref_DBP,groupkfold,0,SinBP_D_no_stiff
446,11,20.485522572062727,23.307584128913998,-0.05586379934264161,12.272913826420607,13.337529845097771,0.6611680898570776,absolute,ref_DBP,groupkfold,10,RTBP
455,11,19.491251573058697,24.00006091695758,-0.09503768332523825,10.56003401707372,10.924051377088084,0.7269171314662535,absolute,ref_DBP,groupkfold,10,SinBP_M
444,11,19.530410061982188,22.441968795586913,-0.038204493260702944,12.179743212249745,12.852686029458129,0.5860631790709969,absolute,ref_DBP,groupkfold,10,SinBP_D_full
444,11,19.505707016229852,22.395587549181112,-0.03779240446374636,12.104365982292864,12.76407517081272,0.5890030168965893,absolute,ref_DBP,groupkfold,10,SinBP_D_no_stiff
446,11,20.934528604689508,23.85652394414662,-0.09491881217064553,13.070038012271668,14.648662201028088,0.7561175326401848,absolute,ref_DBP,groupkfold,20,RTBP
