n,groups,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd,axis,target,split,window_s,method
444,11,4.318425448089169,6.000172609426585,0.148363009918519,2.293671787091661,3.5710035200323342,0.13674554854901108,group_centered,ref_SBP,groupkfold,0,SinBP_D_no_stiff
446,11,3.730582868362773,5.039542685182681,0.12533640052872466,2.557225828036181,3.8975295509592707,0.26034193317676124,group_centered,ref_SBP,groupkfold,10,RTBP
455,11,3.9066690818405285,5.468879592019505,-0.22859919429239878,2.2833064738540396,3.715354380215812,0.3615750430316849,group_centered,ref_SBP,groupkfold,10,SinBP_M
444,11,3.6705463252697115,4.953501229518353,0.222455698209804,2.4709507024313475,3.8195641176529547,0.41720000285056374,group_centered,ref_SBP,groupkfold,10,SinBP_D_full
444,11,3.6533841452283533,4.925370263593704,0.23035329042104533,2.4753029643491686,3.8257299661936717,0.39492259941888547,group_centered,ref_SBP,groupkfold,10,SinBP_D_no_stiff
446,11,3.3526658583796163,4.025088393652744,0.12445812378983138,2.2143771831225814,2.679656871585593,0.3270955566750066,group_centered,ref_SBP,groupkfold,20,RTBP
455,11,3.513720731823085,4.450882816155431,-0.3519006308994901,1.9699510856719527,2.5713193487317896,0.2829401081024368,group_centered,ref_SBP,groupkfold,20,SinBP_M
444,11,3.256066945674629,3.9496565906201626,0.18927296419279127,2.228949781305897,2.706012780703498,0.5877370722492511,group_centered,ref_SBP,groupkfold,20,SinBP_D_full
444,11,3.2249338290294474,3.9046220436313313,0.18831727036923315,2.226236821160417,2.6926284932748077,0.6225688747514712,group_centered,ref_SBP,groupkfold,20,SinBP_D_no_stiff
446,11,2.8339116275622334,3.172976651385956,0.08430017889963781,1.5878225199130396,1.8552606549892547,0.44806880357949563,group_centered,ref_SBP,groupkfold,30,RTBP
455,11,2.8301622178521884,3.379094425419143,-0.3664092081368146,1.437514594860832,2.03701257310187,0.5973540962778895,group_centered,ref_SBP,groupkfold,30,SinBP_M
444,11,2.813719172011808,3.1436651075325,-0.1649896736256772,1.9193317568300738,2.1814575551976945,0.4762465163767824,group_centered,ref_SBP,groupkfold,30,SinBP_D_full
444,11,2.7757361276598442,3.0956773774180384,-0.10421665612247615,1.891560822169679,2.141053214754224,0.5769623650631455,group_centered,ref_SBP,groupkfold,30,SinBP_D_no_stiff
446,11,5.391000072042629,6.851937354517523,-0.00781563829012341,3.7614295991725233,4.77554911447642,0.34669204541010973,group_centered,ref_SBP,logo,0,RTBP
455,11,4.774961085738817,6.1027789467494244,-0.07013666238925684,3.643672192232562,4.728787862739256,0.2930913714010322,group_centered,ref_SBP,logo,0,SinBP_M
444,11,5.102189781721548,6.4061056353365355,0.054531622936365313,3.663443312348816,4.633092772612102,0.27089026647506975,group_centered,ref_SBP,logo,0,SinBP_D_full
444,11,5.064099784832427,6.351090528355216,0.0770122195682368,3.626133909457851,4.565721936932374,0.262711338457839,group_centered,ref_SBP,logo,0,SinBP_D_no_stiff
446,11,4.322330990643528,5.317138757441807,0.008529389516670432,3.6609482358585295,4.435672585140989,0.5024441102190846,group_centered,ref_SBP,logo,10,RTBP
455,11,4.144409270339241,4.980315711131853,-0.27879692741391726,3.6031611422061807,4.291057059588272,0.4850916629720014,group_centered,ref_SBP,logo,10,SinBP_M
444,11,3.9034322001782056,4.7460649897205,0.2978474222756234,3.4535180372544727,4.053648373138725,0.5667987013135284,group_centered,ref_SBP,logo,10,SinBP_D_full
444,11,3.884214409176434,4.725985687639927,0.3077666493719691,3.4279306119419406,4.045213142868812,0.5642430131944219,group_centered,ref_SBP,logo,10,SinBP_D_no_stiff
446,11,3.9723042850209795,4.499078750788565,0.06437946683461937,3.280249188102108,3.6047338610428747,0.6116930937622633,group_centered,ref_SBP,logo,20,RTBP
455,11,3.7176874400278423,4.050712238984769,-0.49835364576384095,3.2578317508562833,3.310322211853838,0.5745650217521273,group_centered,ref_SBP,logo,20,SinBP_M
444,11,3.49554227548311,3.8808315357789414,0.2798739960940104,3.077008765645283,3.1075258499076472,0.7732934449203426,group_centered,ref_SBP,logo,20,SinBP_D_full
444,11,3.461419131963812,3.847891784389272,0.2793881433585847,3.0391918958634103,3.078945818017437,0.7835335651922917,group_centered,ref_SBP,logo,20,SinBP_D_no_stiff
446,11,3.626971298822065,3.7022488398648337,2.2204460492503132e-17,3.0189015591421113,3.0221291867260573,1.0540925533894598,group_centered,ref_SBP,logo,30,RTBP
455,11,2.942303782495028,3.0057675800428,-0.6,2.6567504294136928,2.66805815465725,0.8432740427115678,group_centered,ref_SBP,logo,30,SinBP_M
444,11,3.096911778750825,3.1482820826894344,-0.2,2.56062062540824,2.540232571381996,1.0327955589886444,group_centered,ref_SBP,logo,30,SinBP_D_full
444,11,3.071488347190746,3.121313421739816,-0.2,2.5249249722401736,2.505441164680705,1.0327955589886444,group_centered,ref_SBP,logo,30,SinBP_D_no_stiff
446,11,3.746349624822623,5.083320416487441,0.030905011095339073,0.7586737296234196,1.4352066497156692,0.1987740592434756,group_centered,ref_DBP,timeseries,0,RTBP
455,11,3.5476055483193627,4.537893352431547,0.05732452050818051,0.7337702453517859,0.9426121483797625,0.20360343186258903,group_centered,ref_DBP,timeseries,0,SinBP_M
444,11,3.5602680262004727,4.65744702778216,0.010874205790115787,0.7213646053060789,1.0788418800880775,0.18730234953281177,group_centered,ref_DBP,timeseries,0,SinBP_D_full
444,11,3.5295157127019947,4.6285648755410715,0.013620208916022286,0.7199803256482294,1.0678670569595978,0.2093268138520387,group_centered,ref_DBP,timeseries,0,SinBP_D_no_stiff
446,11,3.495831518624042,4.736476940962595,-0.024608419443147067,0.5781887705475003,1.4441938278767352,0.2352998003329306,group_centered,ref_DBP,timeseries,10,RTBP
455,11,3.2245096646195974,4.100030303464255,-0.12464484144428886,0.6749865082644407,1.028485826211956,0.2696264377121353,group_centered,ref_DBP,timeseries,10,SinBP_M
444,11,3.185045365465745,4.275183082289243,-0.23696862660811954,0.7749734311160262,1.3266979813615745,0.38521045319703573,group_centered,ref_DBP,timeseries,10,SinBP_D_full
444,11,3.1952688354179295,4.251123351692488,-0.22832449460137533,0.7886054998745512,1.317239786454627,0.40813080131511786,group_centered,ref_DBP,timeseries,10,SinBP_D_no_stiff
446,11,3.361595458532822,4.6260710328061325,-0.03025408807636243,0.7408298419220192,1.5733426174377885,0.2628977869423481,group_centered,ref_DBP,timeseries,20,RTBP
455,11,3.075736373537107,3.889221389724143,-0.08723561280333543,0.8697483996407194,1.2708332313705974,0.3127410506287044,group_centered,ref_DBP,timeseries,20,SinBP_M
444,11,3.1412589802102144,4.1483507821744485,-0.2821892653857717,0.8340935283576506,1.4646763192950274,0.3656100877126071,group_centered,ref_DBP,timeseries,20,SinBP_D_full
444,11,3.1447069900548277,4.122507486007236,-0.28224417958794956,0.8578602192971768,1.4576779336823373,0.3911523701559023,group_centered,ref_DBP,timeseries,20,SinBP_D_no_stiff
446,11,3.703996975444227,5.063871136076698,-0.08018068966488837,0.8890747660201255,1.9614355632126868,0.28475506760481645,group_centered,ref_DBP,timeseries,30,RTBP
455,11,3.1649996919546957,4.053502473082034,-0.11569543782648506,0.827081061437577,1.3451583144086183,0.30467309346638743,group_centered,ref_DBP,timeseries,30,SinBP_M
444,11,3.1088654273041394,4.2181083227136,-0.28007193402436414,0.8348577315148498,1.5376413281617194,0.40624546243591425,group_centered,ref_DBP,timeseries,30,SinBP_D_full
444,11,3.123887813547566,4.193340328578737,-0.2680419900990586,0.847513533544553,1.5320754085613941,0.4300738740139054,group_centered,ref_DBP,timeseries,30,SinBP_D_no_stiff
446,11,3.5868758790398614,4.564709693545529,0.07728896252807294,1.025073533469158,1.1658926036784936,0.11908981530345791,group_centered,ref_DBP,groupkfold,0,RTBP
455,11,3.52601764849825,4.417574907295708,0.02579827922511485,1.3632993430854443,1.4996291532103256,0.19144394180571978,group_centered,ref_DBP,groupkfold,0,SinBP_M
444,11,3.555664988116356,4.49983657694393,0.0634830586163632,1.1673232037446806,1.3298236990671604,0.1713017521213712,group_centered,ref_DBP,groupkfold,0,SinBP_D_full
444,11,3.5382100394721023,4.480687626524122,0.07370987382252388,1.1760552850432922,1.3381092494166553,0.17972103581311333,group_centered,ref_DBP,groupkfold,0,SinBP_D_no_stiff
446,11,3.204858479722997,4.043349086402364,0.03452897751224001,0.9682880365532847,1.321684043842211,0.24030098381968895,group_centered,ref_DBP,groupkfold,10,RTBP
455,11,3.1155199677711645,3.9738665807995224,-0.15033097562550646,1.0084285386538057,1.4379008958382018,0.24664658762071046,group_centered,ref_DBP,groupkfold,10,SinBP_M
444,11,3.2637892527493877,4.086661549915204,-0.03456089015824376,1.1383247375952912,1.5249943410554512,0.3029359344924658,group_centered,ref_DBP,groupkfold,10,SinBP_D_full
444,11,3.2506611786180963,4.068878165854616,-0.03640257995887967,1.1385101566162423,1.5284225248001846,0.3000882807099963,group_centered,ref_DBP,groupkfold,10,SinBP_D_no_stiff
446,11,2.838553698925228,3.510698331576831,0.18224041691630463,1.1337601355256393,1.6412001415497481,0.30279507475643325,group_centered,ref_DBP,groupkfold,20,RTBP
455,11,2.74864946342315,3.4305562479101868,-0.15874959684513948,1.1269832463513962,1.7308226460766498,0.2003937581381522,group_centered,ref_DBP,groupkfold,20,SinBP_M
444,11,2.895918765226695,3.5908614190155346,0.05411415319388189,1.3124957189416528,1.845818268306221,0.36969259134521215,group_centered,ref_DBP,groupkfold,20,SinBP_D_full
444,11,2.8787875565300998,3.5766431914577224,0.05958604950576836,1.3166164565187166,1.8544207152200562,0.36499038868706457,group_centered,ref_DBP,groupkfold,20,SinBP_D_no_stiff
446,11,1.9971139672382077,2.4904188001876424,-0.026564337891490854,1.3152185216633434,1.9674342954045374,0.4771013602592897,group_centered,ref_DBP,groupkfold,30,RTBP
455,11,1.8544439279875005,2.1182330269855045,-0.046259140828113346,1.7883698087609368,2.111481273522522,0.4082985333755483,group_centered,ref_DBP,groupkfold,30,SinBP_M
444,11,1.9942931578692051,2.515299664550576,0.06298076677660505,1.4693455073022088,2.079394357891111,0.5170040631921499,group_centered,ref_DBP,groupkfold,30,SinBP_D_full
444,11,1.982958658059374,2.4968223110628136,0.08000767507880205,1.4786446583374742,2.09071472936308,0.4985676699907725,group_centered,ref_DBP,groupkfold,30,SinBP_D_no_stiff
446,11,4.380858145983364,5.322918263910689,0.0152294994411596,2.4541439516898054,2.695797368476634,0.3252535600585264,group_centered,ref_DBP,logo,0,RTBP
455,11,3.6462118927953,4.422120055769796,-0.00207956263802541,2.012134303687422,2.3136907253991983,0.4044532804420352,group_centered,ref_DBP,logo,0,SinBP_M
