経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, E_used, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
6.242, 5.2049, 0.0000, -0.6754, -0.4310, 2.3640, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 98.30, 60.30, 3.2688, 2.7982, 0.3367, -0.9416, -4.5942, 1.6429, 769.0000, 0.0000, 0, 24, 0.5021, 9.9131, 9.4110, 3.5131, 0.6476, 0.3524, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
6.836, 9.2360, 90.9712, -0.4219, -0.4688, 1.8534, 5.0983, 90.9712, -0.6754, -0.4310, 2.7419, 96.22, 60.50, 7.5772, 2.4664, 0.6250, -0.7806, -1.6684, 1.3359, 542.0000, 659.5490, 1, 17, 5.0223, 9.7367, 4.7144, 1.5779, 0.6273, 0.3727, 96.22, 60.50, 96.22, 60.50, 0, 0, 1, 1, A:9.2360->5.0983|E:1.8534->2.7419, ok
7.498, 8.4712, 95.6519, -0.6101, -0.4992, 3.2464, 5.0983, 95.6519, -0.4219, -0.4688, 3.2464, 112.39, 83.48, 4.8468, 2.3989, 0.6763, -0.7366, -2.8708, 2.6357, 693.0000, 627.2745, 1, 22, 0.5007, 9.0564, 8.5558, 2.8045, 0.6219, 0.3781, 112.39, 83.48, 112.39, 83.48, 0, 0, 1, 1, A:8.4712->5.0983, ok
8.210, 9.3724, 93.0756, -0.5483, -0.4486, 4.1192, 5.0983, 93.0756, -0.6101, -0.4992, 4.1192, 117.88, 80.55, 5.2918, 2.7361, 0.3944, -0.9189, -4.3198, 1.8543, 606.0000, 644.6373, 1, 19, 0.5852, 9.8800, 9.2947, 3.3316, 0.6667, 0.3333, 117.88, 80.55, 117.88, 80.55, 0, 0, 1, 1, A:9.3724->5.0983, ok
8.778, 9.0231, 88.5193, -0.4177, -0.4641, 3.7621, 5.0983, 88.5193, -0.5483, -0.4486, 3.7621, 115.16, 78.68, 5.3572, 2.4806, 0.6139, -0.7894, -3.4166, 2.6572, 657.0000, 677.8186, 1, 21, 0.5076, 9.4430, 8.9354, 3.1055, 0.6104, 0.3896, 115.16, 78.68, 115.16, 78.68, 0, 0, 1, 1, A:9.0231->5.0983, ok
9.473, 8.8498, 96.3222, -0.6391, -0.4648, 3.5010, 5.0983, 96.3222, -0.4177, -0.4641, 3.5010, 115.65, 86.42, 5.1682, 2.4886, 0.6076, -0.7943, -3.2604, 2.4941, 715.0000, 622.9093, 1, 22, 0.4199, 9.2529, 8.8330, 2.9280, 0.6224, 0.3776, 115.65, 86.42, 115.65, 86.42, 0, 0, 1, 1, A:8.8498->5.0983, ok
10.079, 7.7115, 91.0533, -0.4748, -0.4748, 3.1458, 5.0983, 91.0533, -0.6391, -0.4648, 3.1458, 103.63, 67.60, 4.7669, 2.5233, 0.5796, -0.8149, -3.0875, 2.1962, 562.0000, 658.9547, 1, 18, 0.4030, 8.1459, 7.7429, 2.7223, 0.6548, 0.3452, 103.63, 67.60, 103.63, 67.60, 0, 0, 1, 1, A:7.7115->5.0983, ok
10.821, 9.1618, 94.7901, -0.6507, -0.4349, 4.3088, 5.0983, 94.7901, -0.4748, -0.4748, 4.3088, 124.57, 90.93, 5.1730, 2.6736, 0.4511, -0.8925, -4.2406, 2.1435, 702.0000, 632.9773, 1, 22, 0.4344, 9.7449, 9.3105, 3.3937, 0.6254, 0.3746, 124.57, 90.93, 124.57, 90.93, 0, 0, 1, 1, A:9.1618->5.0983, ok
11.348, 9.4566, 87.3377, -0.3549, -0.4453, 3.8353, 5.0983, 87.3377, -0.6507, -0.4349, 3.8353, 112.16, 72.44, 5.9994, 2.3250, 0.7288, -0.6847, -2.9135, 3.1013, 600.0000, 686.9887, 1, 19, 0.5831, 9.9105, 9.3274, 3.0844, 0.5567, 0.4433, 112.16, 72.44, 112.16, 72.44, 0, 0, 1, 1, A:9.4566->5.0983, ok
12.087, 8.1020, 98.8477, -0.4991, -0.5009, 3.3718, 5.0983, 98.8477, -0.3549, -0.4453, 3.3718, 115.44, 89.29, 4.8681, 2.3675, 0.6991, -0.7151, -2.7682, 2.7062, 736.0000, 606.9943, 1, 23, 0.4539, 8.7684, 8.3145, 2.8059, 0.5856, 0.4144, 115.44, 89.29, 115.44, 89.29, 0, 0, 1, 1, A:8.1020->5.0983, ok
12.620, 8.1020, 89.1534, -0.4465, -0.4465, 3.9098, 5.0983, 89.1534, -0.4991, -0.5009, 3.9098, 120.04, 84.47, 5.2401, 2.7371, 0.3936, -0.9193, -4.1978, 1.7972, 531.0000, 672.9972, 1, 17, 0.6663, 9.6639, 8.9976, 3.2329, 0.6855, 0.3145, 120.04, 84.47, 120.04, 84.47, 0, 0, 1, 1, A:8.1020->5.0983, ok
13.321, 8.1020, 0.0000, -0.7411, -0.3715, 3.9098, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 120.04, 84.47, 5.2401, 2.4097, 0.6683, -0.7439, -3.5002, 3.1444, 743.0000, 0.0000, 0, 23, 0.3953, 9.8000, 9.4047, 3.3576, 0.5882, 0.4118, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
13.950, 7.9925, 91.9541, -0.4701, -0.4231, 2.6701, 5.0983, 91.9541, -0.7411, -0.3715, 2.7419, 92.20, 55.44, 5.9274, 2.0429, 0.8906, -0.4548, -1.4493, 2.8380, 533.0000, 652.4993, 1, 17, 1.7274, 8.9174, 7.1900, 2.3827, 0.5629, 0.4371, 92.20, 55.44, 92.20, 55.44, 0, 0, 1, 1, A:7.9925->5.0983|E:2.6701->2.7419, ok
14.620, 7.9925, 0.0000, -0.5780, -0.4729, 2.6701, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 92.20, 55.44, 5.9274, 2.0393, 0.8922, -0.4516, -1.1898, 2.3508, 703.0000, 0.0000, 0, 22, 0.5394, 7.3737, 6.8342, 2.0108, 0.5263, 0.4737, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
15.217, 9.1401, 91.5856, -0.4925, -0.4433, 4.3654, 5.0983, 91.5856, -0.5780, -0.4729, 4.3654, 121.95, 84.21, 5.0478, 2.7801, 0.3537, -0.9354, -4.3807, 1.6564, 629.0000, 655.1248, 1, 20, 0.4905, 9.7536, 9.2631, 3.3741, 0.6375, 0.3625, 121.95, 84.21, 121.95, 84.21, 0, 0, 1, 1, A:9.1401->5.0983, ok
15.950, 8.5008, 95.8371, -0.6080, -0.4422, 3.5015, 5.0983, 95.8371, -0.4925, -0.4433, 3.5015, 112.45, 81.19, 5.3888, 2.4644, 0.6266, -0.7793, -3.0569, 2.4580, 663.0000, 626.0624, 1, 21, 0.6135, 8.8505, 8.2370, 2.8693, 0.5943, 0.4057, 112.45, 81.19, 112.45, 81.19, 0, 0, 1, 1, A:8.5008->5.0983, ok
16.499, 5.3924, 88.2312, -0.3147, -0.4946, 2.4407, 5.0983, 88.2312, -0.6080, -0.4422, 2.7419, 99.49, 64.29, 3.5431, 2.4273, 0.6550, -0.7556, -2.1163, 1.8347, 610.0000, 680.0312, 1, 19, 0.3497, 6.4432, 6.0935, 2.0540, 0.6082, 0.3918, 99.49, 64.29, 99.49, 64.29, 0, 0, 1, 1, A:5.3924->5.0983|E:2.4407->2.7419, ok
17.130, 3.0161, 97.7174, -0.6624, -0.5420, 4.1850, 3.0161, 97.7174, -0.3147, -0.4946, 4.1850, 125.92, 95.40, 5.5050, 2.8693, 0.2690, -0.9631, -4.5268, 1.2642, 732.0000, 614.0156, 1, 23, 0.4961, 9.7972, 9.3012, 3.3785, 0.6844, 0.3156, 125.92, 95.40, 125.92, 95.40, 0, 0, 0, 1, ok, ok
17.758, 9.1248, 96.3843, -0.5753, -0.4184, 1.1786, 5.0983, 96.3843, -0.6624, -0.5420, 2.7419, 98.34, 64.80, 8.1504, 2.7033, 0.4244, -0.9055, -1.3460, 0.6309, 535.0000, 622.5078, 1, 17, 6.7812, 9.8183, 3.0371, 1.0882, 0.7570, 0.2430, 98.34, 64.80, 98.34, 64.80, 0, 0, 1, 1, A:9.1248->5.0983|E:1.1786->2.7419, ok
18.464, 7.2685, 95.9610, -0.5255, -0.4204, 2.8001, 5.0983, 95.9610, -0.5753, -0.4184, 2.8001, 99.58, 68.35, 5.4583, 2.1267, 0.8494, -0.5277, -1.7840, 2.8716, 635.0000, 625.2539, 1, 20, 0.6935, 8.7497, 8.0562, 2.5417, 0.5843, 0.4157, 99.58, 68.35, 99.58, 68.35, 0, 0, 1, 1, A:7.2685->5.0983, ok
18.962, 5.9715, 90.1406, -0.4674, -0.5142, 2.7203, 5.0983, 90.1406, -0.5255, -0.4204, 2.7419, 101.75, 69.52, 3.9503, 2.4387, 0.6464, -0.7630, -2.2875, 1.9380, 636.0000, 665.6270, 1, 20, 0.5541, 6.8999, 6.3458, 2.1946, 0.5786, 0.4214, 101.75, 69.52, 101.75, 69.52, 0, 0, 1, 1, A:5.9715->5.0983|E:2.7203->2.7419, ok
19.629, 5.9715, 90.1406, -0.7952, -0.4639, 2.7203, 5.0983, 90.1406, -0.5255, -0.4204, 2.7419, 101.75, 69.52, 3.9503, 2.4387, 0.6464, -0.7630, -2.2875, 1.9380, 636.0000, 665.6270, 1, 20, 0.5541, 6.8999, 6.3458, 2.1946, 0.5786, 0.4214, 101.75, 69.52, 101.75, 69.52, 0, 0, 1, 1, A:5.9715->5.0983|E:2.7203->2.7419, ok
20.237, 9.1343, 96.0912, -0.5937, -0.3958, 3.1513, 5.0983, 96.0912, -0.7952, -0.4639, 3.1513, 96.94, 59.04, 4.2120, 2.9594, 0.1812, -0.9834, -3.3893, 0.6246, 730.0000, 624.4067, 1, 22, 0.4553, 7.9006, 7.4454, 2.4620, 0.6795, 0.3205, 96.94, 59.04, 96.94, 59.04, 0, 0, 1, 1, A:9.1343->5.0983, ok
20.974, 9.1343, 0.0000, -0.5954, -0.3799, 3.1513, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 96.94, 59.04, 4.2120, 5.7267, -0.5282, 0.8491, 0.6169, -0.3837, 1135.0000, 0.0000, 0, 35, 0.5978, 9.7320, 9.1343, 3.1849, 0.8793, 0.1207, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
21.506, 9.2184, 88.6785, -0.3582, -0.4925, 3.1581, 5.0983, 88.6785, -0.5954, -0.3799, 3.1581, 103.88, 68.24, 6.0865, 2.3521, 0.7100, -0.7042, -2.6386, 2.6604, 607.0000, 676.6017, 1, 19, 1.1281, 9.5324, 8.4043, 2.7265, 0.6112, 0.3888, 103.88, 68.24, 103.88, 68.24, 0, 0, 1, 1, A:9.2184->5.0983, ok
22.103, 7.4370, 99.2062, -0.4953, -0.8049, 3.0580, 5.0983, 99.2062, -0.3582, -0.4925, 3.0580, 112.25, 86.88, 4.4814, 2.4840, 0.6112, -0.7914, -2.8945, 2.2355, 738.0000, 604.8008, 1, 23, 0.3140, 8.1581, 7.8441, 2.6657, 0.6423, 0.3577, 112.25, 86.88, 112.25, 86.88, 0, 0, 1, 1, A:7.4370->5.0983, ok
22.773, 9.3363, 99.9333, -0.6091, -0.7198, 3.8942, 5.0983, 99.9333, -0.4953, -0.8049, 3.8942, 125.14, 93.11, 5.7447, 2.7673, 0.3656, -0.9308, -4.1798, 1.6417, 533.0000, 600.4004, 1, 17, 0.7211, 9.6997, 8.9787, 3.2245, 0.6867, 0.3133, 125.14, 93.11, 125.14, 93.11, 0, 0, 1, 1, A:9.3363->5.0983, ok
23.374, 4.7867, 94.4584, -0.4925, -0.4433, 2.6213, 4.7867, 94.4584, -0.6091, -0.7198, 2.7419, 104.36, 70.36, 5.6258, 0.8136, 0.7268, 0.6869, 2.6084, 2.7598, 599.0000, 635.2002, 1, 19, 0.5206, 9.8569, 9.3363, 2.9277, 0.4992, 0.5008, 104.36, 70.36, 104.36, 70.36, 0, 0, 1, 1, E:2.6213->2.7419, ok
23.973, 8.8929, 97.0717, -0.6589, -0.4393, 4.0876, 5.0983, 97.0717, -0.4925, -0.4433, 4.0876, 119.89, 87.49, 4.5432, 2.6976, 0.4295, -0.9030, -3.7908, 1.8031, 664.0000, 618.1001, 1, 21, 0.7075, 9.5061, 8.7986, 3.1205, 0.5979, 0.4021, 119.89, 87.49, 119.89, 87.49, 0, 0, 1, 1, A:8.8929->5.0983, ok
24.642, 8.4248, 98.5950, -0.6611, -0.3306, 3.8891, 5.0983, 98.5950, -0.6589, -0.4393, 3.8891, 110.69, 75.29, 5.7114, 2.5241, 0.5790, -0.8153, -3.5709, 2.5360, 605.0000, 608.5501, 1, 19, 0.6132, 9.7839, 9.1707, 3.1295, 0.6066, 0.3934, 110.69, 75.29, 110.69, 75.29, 0, 0, 1, 1, A:8.4248->5.0983, ok
25.210, 8.9684, 93.9298, -0.4933, -0.3946, 3.3122, 5.0983, 93.9298, -0.6611, -0.3306, 3.3122, 101.36, 65.99, 6.0302, 2.1832, 0.8183, -0.5748, -2.1736, 3.0942, 604.0000, 638.7750, 1, 19, 1.3591, 9.6727, 8.3136, 2.7657, 0.5513, 0.4487, 101.36, 65.99, 101.36, 65.99, 0, 0, 1, 1, A:8.9684->5.0983, ok
25.854, 8.5796, 99.4386, -0.6391, -0.4067, 3.3290, 5.0983, 99.4386, -0.4933, -0.3946, 3.3290, 108.41, 79.30, 5.3506, 2.2817, 0.7577, -0.6525, -2.6290, 3.0528, 667.0000, 603.3875, 1, 21, 0.7043, 9.1741, 8.4698, 2.9174, 0.6042, 0.3958, 108.41, 79.30, 108.41, 79.30, 0, 0, 1, 1, A:8.5796->5.0983, ok
26.451, 7.4385, 96.2011, -0.5637, -0.4099, 3.0728, 5.0983, 96.2011, -0.6391, -0.4067, 3.0728, 100.43, 66.96, 4.8579, 2.3166, 0.7346, -0.6786, -2.4367, 2.6378, 568.0000, 623.6938, 1, 18, 0.5945, 7.8975, 7.3030, 2.5945, 0.5915, 0.4085, 100.43, 66.96, 100.43, 66.96, 0, 0, 1, 1, A:7.4385->5.0983, ok
27.078, 9.1101, 98.2243, -0.6070, -0.3863, 4.0970, 5.0983, 98.2243, -0.5637, -0.4099, 4.0970, 116.36, 82.74, 5.2770, 2.4460, 0.6408, -0.7677, -3.4818, 2.9063, 629.0000, 610.8469, 1, 20, 0.4591, 9.8388, 9.3797, 3.2571, 0.5803, 0.4197, 116.36, 82.74, 116.36, 82.74, 0, 0, 1, 1, A:9.1101->5.0983, ok
27.685, 8.9184, 96.9425, -0.5263, -0.4211, 3.6900, 5.0983, 96.9425, -0.6070, -0.3863, 3.6900, 109.09, 75.08, 5.8208, 2.1973, 0.8101, -0.5864, -2.4722, 3.4154, 608.0000, 618.9234, 1, 19, 0.7287, 9.6167, 8.8880, 3.0554, 0.5493, 0.4507, 109.09, 75.08, 109.09, 75.08, 0, 0, 1, 1, A:8.9184->5.0983, ok
28.288, 8.6767, 97.9653, -0.5446, -0.4356, 3.4759, 5.0983, 97.9653, -0.5263, -0.4211, 3.4759, 109.96, 78.89, 5.6493, 2.2176, 0.7980, -0.6027, -2.4841, 3.2891, 631.0000, 612.4617, 1, 20, 0.6983, 9.5845, 8.8862, 2.9977, 0.5800, 0.4200, 109.96, 78.89, 109.96, 78.89, 0, 0, 1, 1, A:8.6767->5.0983, ok
28.885, 8.6767, 98.7279, -0.6020, -0.4378, 3.6907, 5.0983, 98.7279, -0.5446, -0.4356, 3.6907, 112.28, 80.41, 5.6687, 2.4742, 0.6190, -0.7854, -3.3114, 2.6097, 605.0000, 607.7309, 1, 19, 0.9077, 9.6131, 8.7053, 3.0328, 0.6083, 0.3917, 112.28, 80.41, 112.28, 80.41, 0, 0, 1, 1, A:8.6767->5.0983, ok
29.495, 8.8515, 99.6073, -0.6633, -0.3869, 3.6704, 5.0983, 99.6073, -0.6020, -0.4378, 3.6704, 109.75, 76.84, 5.9027, 2.5173, 0.5845, -0.8114, -3.3736, 2.4303, 604.0000, 602.3654, 1, 19, 1.0241, 9.6406, 8.6165, 2.9912, 0.6109, 0.3891, 109.75, 76.84, 109.75, 76.84, 0, 0, 1, 1, A:8.8515->5.0983, ok
30.118, 8.1921, 98.8985, -0.5941, -0.3241, 3.5297, 5.0983, 98.8985, -0.6633, -0.3869, 3.5297, 104.56, 70.38, 5.9547, 2.2201, 0.7965, -0.6046, -2.4298, 3.2010, 590.0000, 606.6827, 1, 19, 0.7891, 9.6196, 8.8305, 2.9237, 0.5542, 0.4458, 104.56, 70.38, 104.56, 70.38, 0, 0, 1, 1, A:8.1921->5.0983, ok
30.721, 8.8853, 97.5861, -0.5827, -0.4238, 3.5330, 5.0983, 97.5861, -0.5941, -0.3241, 3.5330, 105.97, 73.22, 5.9508, 2.2278, 0.7919, -0.6107, -2.4503, 3.1770, 608.0000, 614.8414, 1, 19, 1.4275, 9.7457, 8.3182, 2.9069, 0.5526, 0.4474, 105.97, 73.22, 105.97, 73.22, 0, 0, 1, 1, A:8.8853->5.0983, ok
31.430, 9.2915, 98.6160, -0.5482, -0.3821, 3.6802, 5.0983, 98.6160, -0.5827, -0.4238, 3.6802, 110.46, 77.65, 6.0407, 2.3737, 0.6947, -0.7193, -2.9389, 2.8380, 628.0000, 608.4207, 1, 20, 0.8604, 9.7177, 8.8573, 2.9571, 0.5653, 0.4347, 110.46, 77.65, 110.46, 77.65, 0, 0, 1, 1, A:9.2915->5.0983, ok
31.924, 2.8623, 91.0180, -0.3704, -0.5113, 2.0649, 2.8623, 91.0180, -0.5482, -0.3821, 2.7419, 96.64, 61.72, 3.1959, 1.6111, 0.9992, -0.0403, -0.0935, 2.3192, 611.0000, 659.2103, 1, 19, 0.4262, 8.4422, 8.0160, 2.1089, 0.5466, 0.4534, 96.64, 61.72, 96.64, 61.72, 0, 0, 1, 1, E:2.0649->2.7419, ok
32.564, 6.7384, 104.0573, -0.6680, -0.4676, 3.7297, 5.0983, 104.0573, -0.3704, -0.5113, 3.7297, 120.15, 94.53, 4.8016, 2.9832, 0.1577, -0.9875, -3.9030, 0.6234, 701.0000, 576.6052, 1, 22, 0.6331, 8.7441, 8.1110, 2.8530, 0.6690, 0.3310, 120.15, 94.53, 120.15, 94.53, 0, 0, 1, 1, A:6.7384->5.0983, ok
33.159, 9.0207, 98.7163, -0.5164, -0.4648, 3.5863, 5.0983, 98.7163, -0.6680, -0.4676, 3.5863, 107.02, 72.20, 6.1242, 2.9349, 0.2052, -0.9787, -3.7776, 0.7919, 504.0000, 607.8026, 1, 16, 2.0057, 9.7306, 7.7249, 2.7274, 0.6667, 0.3333, 107.02, 72.20, 107.02, 72.20, 0, 0, 1, 1, A:9.0207->5.0983, ok
33.771, 4.4514, 99.7670, -0.6101, -0.4437, 3.8953, 4.4514, 99.7670, -0.5164, -0.4648, 3.8953, 115.57, 83.41, 6.0483, 2.6432, 0.4780, -0.8784, -3.8741, 2.1083, 629.0000, 601.4013, 1, 20, 0.7099, 9.7716, 9.0617, 3.1661, 0.6359, 0.3641, 115.57, 83.41, 115.57, 83.41, 0, 0, 0, 1, ok, ok
34.304, 5.8360, 98.8956, -0.5392, -0.3775, 1.8575, 5.0983, 98.8956, -0.6101, -0.4437, 2.7419, 97.58, 66.77, 7.6665, 2.4103, 0.6678, -0.7443, -1.7027, 1.5276, 601.0000, 606.7006, 1, 19, 5.3203, 9.8809, 4.5607, 1.6351, 0.6456, 0.3544, 97.58, 66.77, 97.58, 66.77, 0, 0, 1, 1, A:5.8360->5.0983|E:1.8575->2.7419, ok
34.976, 6.5178, 105.2908, -0.6811, -0.3715, 2.5476, 5.0983, 105.2908, -0.5392, -0.3775, 2.7419, 97.59, 71.48, 7.2731, 2.3076, 0.7407, -0.6719, -1.8805, 2.0730, 607.0000, 569.8503, 1, 19, 4.0449, 9.9056, 5.8607, 2.0205, 0.5437, 0.4563, 97.59, 71.48, 97.59, 71.48, 0, 0, 1, 1, A:6.5178->5.0983|E:2.5476->2.7419, ok
35.569, 8.9355, 96.6300, -0.4911, -0.4420, 2.4039, 5.0983, 96.6300, -0.6811, -0.3715, 2.7419, 93.64, 60.35, 6.4934, 2.2573, 0.7735, -0.6338, -1.7645, 2.1531, 541.0000, 620.9252, 1, 17, 3.3878, 9.3486, 5.9608, 2.0519, 0.5841, 0.4159, 93.64, 60.35, 93.64, 60.35, 0, 0, 1, 1, A:8.9355->5.0983|E:2.4039->2.7419, ok
36.268, 4.7565, 98.8529, -0.7218, -0.4452, 4.3090, 4.7565, 98.8529, -0.4911, -0.4420, 4.3090, 122.00, 89.36, 5.2551, 2.5660, 0.5443, -0.8389, -4.0177, 2.6071, 662.0000, 606.9626, 1, 21, 0.4131, 9.8401, 9.4270, 3.4313, 0.6088, 0.3912, 122.00, 89.36, 122.00, 89.36, 0, 0, 0, 1, ok, ok
36.801, 3.8191, 91.8862, -0.3777, -0.5179, 1.8237, 3.8191, 91.8862, -0.7218, -0.4452, 2.7419, 92.81, 54.75, 7.4665, 2.3656, 0.7004, -0.7138, -1.5295, 1.5009, 597.0000, 652.9813, 1, 19, 5.0836, 9.7128, 4.6292, 1.5683, 0.6131, 0.3869, 92.81, 54.75, 92.81, 54.75, 0, 0, 1, 1, E:1.8237->2.7419, ok
37.415, 4.6694, 101.1820, -0.4934, -0.4953, 3.6442, 4.6694, 101.1820, -0.3777, -0.5179, 3.6442, 118.80, 91.51, 5.3069, 2.6496, 0.4724, -0.8814, -3.8256, 2.0503, 705.0000, 592.9906, 1, 22, 0.4056, 9.3410, 8.9355, 3.0933, 0.6681, 0.3319, 118.80, 91.51, 118.80, 91.51, 0, 0, 0, 1, ok, ok
38.114, 5.9825, 99.4208, -0.5912, -0.4837, 2.2582, 5.0983, 99.4208, -0.4934, -0.4953, 2.7419, 103.07, 75.25, 7.1986, 2.8666, 0.2715, -0.9624, -2.5074, 0.7073, 560.0000, 603.4953, 1, 17, 4.6716, 9.8223, 5.1507, 1.8330, 0.7036, 0.2964, 103.07, 75.25, 103.07, 75.25, 0, 0, 1, 1, A:5.9825->5.0983|E:2.2582->2.7419, ok
38.680, 9.4399, 92.1308, -0.4721, -0.4721, 2.2440, 5.0983, 92.1308, -0.5912, -0.4837, 2.7419, 100.41, 67.11, 6.9467, 2.6885, 0.4377, -0.8991, -2.4832, 1.2089, 578.0000, 651.2477, 1, 18, 3.8398, 9.7924, 5.9526, 1.9638, 0.7059, 0.2941, 100.41, 67.11, 100.41, 67.11, 0, 0, 1, 1, A:9.4399->5.0983|E:2.2440->2.7419, ok
