経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
24.642, 4.3659, 98.5950, 5.7114, 2.6238, 4.3659, 98.5950, 5.7114, 0.4949, -0.8689, 126.18, 93.42, 0.4949, -0.8689, -3.7936, 2.1608, 0.5132, 606.0000, 608.5501, 1, 19, 0.6132, 9.7839, 9.1707, 3.1295, 0.6089, 0.3911, 126.18, 93.42, 126.18, 93.42, 0, 0, 0, 1, ok, ok
25.210, 3.7734, 93.9298, 6.0302, 2.2910, 3.7734, 93.9298, 6.0302, 0.7517, -0.6595, 117.80, 85.43, 0.7517, -0.6595, -2.4886, 2.8364, 0.7280, 603.0000, 638.7750, 1, 19, 1.3591, 9.6727, 8.3136, 2.7657, 0.5539, 0.4461, 117.80, 85.43, 117.80, 85.43, 0, 0, 0, 1, ok, ok
25.854, 4.0095, 99.4386, 5.3506, 2.3681, 4.0095, 99.4386, 5.3506, 0.6986, -0.7155, 119.54, 88.80, 0.6986, -0.7155, -2.8688, 2.8011, 0.6878, 667.0000, 603.3875, 1, 21, 0.7043, 9.1741, 8.4698, 2.9174, 0.6057, 0.3943, 119.54, 88.80, 119.54, 88.80, 0, 0, 0, 1, ok, ok
26.451, 3.5863, 96.2011, 4.8579, 2.4228, 3.5863, 96.2011, 4.8579, 0.6585, -0.7526, 119.95, 88.54, 0.6585, -0.7526, -2.6992, 2.3614, 0.5482, 570.0000, 623.6938, 1, 18, 0.5945, 7.8975, 7.3030, 2.5945, 0.5947, 0.4053, 119.95, 88.54, 119.95, 88.54, 0, 0, 0, 1, ok, ok
27.078, 4.5456, 98.2243, 5.2770, 2.5459, 4.5456, 98.2243, 5.2770, 0.5611, -0.8277, 125.82, 92.98, 0.5611, -0.8277, -3.7625, 2.5506, 0.5270, 628.0000, 610.8469, 1, 20, 0.4591, 9.8388, 9.3797, 3.2571, 0.5844, 0.4156, 125.82, 92.98, 125.82, 92.98, 0, 0, 0, 1, ok, ok
27.685, 4.2115, 96.9425, 5.8208, 2.3005, 4.2115, 96.9425, 5.8208, 0.7454, -0.6666, 119.28, 87.34, 0.7454, -0.6666, -2.8075, 3.1393, 0.6834, 608.0000, 618.9234, 1, 19, 0.7287, 9.6167, 8.8880, 3.0554, 0.5526, 0.4474, 119.28, 87.34, 119.28, 87.34, 0, 0, 0, 1, ok, ok
28.288, 4.0967, 97.9653, 5.6493, 2.3145, 4.0967, 97.9653, 5.6493, 0.7360, -0.6770, 118.95, 87.60, 0.7360, -0.6770, -2.7734, 3.0152, 0.7712, 630.0000, 612.4617, 1, 20, 0.6983, 9.5845, 8.8862, 2.9977, 0.5825, 0.4175, 118.95, 87.60, 118.95, 87.60, 0, 0, 0, 1, ok, ok
28.885, 4.1819, 98.7279, 5.6687, 2.5769, 4.1819, 98.7279, 5.6687, 0.5352, -0.8447, 124.49, 92.32, 0.5352, -0.8447, -3.5326, 2.2381, 0.6736, 606.0000, 607.7309, 1, 19, 0.9077, 9.6131, 8.7053, 3.0328, 0.6106, 0.3894, 124.49, 92.32, 124.49, 92.32, 0, 0, 0, 1, ok, ok
29.495, 4.1316, 99.6073, 5.9027, 2.6165, 4.1316, 99.6073, 5.9027, 0.5013, -0.8653, 124.67, 92.73, 0.5013, -0.8653, -3.5749, 2.0713, 0.6420, 603.0000, 602.3654, 1, 19, 1.0241, 9.6406, 8.6165, 2.9912, 0.6136, 0.3864, 124.67, 92.73, 124.67, 92.73, 0, 0, 0, 1, ok, ok
30.118, 4.0022, 98.8985, 5.9547, 2.3260, 4.0022, 98.8985, 5.9547, 0.7281, -0.6855, 118.37, 87.49, 0.7281, -0.6855, -2.7433, 2.9141, 0.7344, 590.0000, 606.6827, 1, 19, 0.7891, 9.6196, 8.8305, 2.9237, 0.5559, 0.4441, 118.37, 87.49, 118.37, 87.49, 0, 0, 0, 1, ok, ok
30.721, 4.0067, 97.5861, 5.9508, 2.3336, 4.0067, 97.5861, 5.9508, 0.7229, -0.6909, 118.88, 87.43, 0.7229, -0.6909, -2.7684, 2.8966, 0.6506, 609.0000, 614.8414, 1, 19, 1.4275, 9.7457, 8.3182, 2.9069, 0.5550, 0.4450, 118.88, 87.43, 118.88, 87.43, 0, 0, 0, 1, ok, ok
31.430, 4.0698, 98.6160, 6.0407, 2.4660, 4.0698, 98.6160, 6.0407, 0.6253, -0.7804, 121.61, 89.99, 0.6253, -0.7804, -3.1759, 2.5450, 0.6804, 627.0000, 608.4207, 1, 20, 0.8604, 9.7177, 8.8573, 2.9571, 0.5678, 0.4322, 121.61, 89.99, 121.61, 89.99, 0, 0, 0, 1, ok, ok
31.924, 2.4238, 91.0180, 3.1959, 1.6822, 2.4238, 91.0180, 3.1959, 0.9938, -0.1112, 101.05, 71.13, 0.9938, -0.1112, -0.2695, 2.4088, 1.2288, 611.0000, 659.2103, 1, 19, 0.4262, 8.4422, 8.0160, 2.1089, 0.5483, 0.4517, 101.05, 71.13, 101.05, 71.13, 0, 0, 0, 1, ok, ok
32.564, 3.9273, 104.0573, 4.8016, 3.0860, 3.9273, 104.0573, 4.8016, 0.0556, -0.9753, 130.08, 98.03, 0.0556, -0.9985, -3.9212, 0.2183, 0.6539, 701.0000, 576.6052, 1, 22, 0.6331, 8.7441, 8.1110, 2.8530, 0.6705, 0.3295, 130.08, 98.03, 130.08, 98.03, 0, 0, 1, 1, cosPhi:-0.9985->-0.9753, ok
33.159, 3.8226, 98.7163, 6.1242, 3.0682, 3.8226, 98.7163, 6.1242, 0.0733, -0.9753, 129.95, 95.86, 0.0733, -0.9973, -3.8123, 0.2803, 0.3646, 505.0000, 607.8026, 1, 16, 2.0057, 9.7306, 7.7249, 2.7274, 0.6693, 0.3307, 129.95, 95.86, 129.95, 95.86, 0, 0, 1, 1, cosPhi:-0.9973->-0.9753, ok
33.771, 4.3953, 99.7670, 6.0483, 2.7304, 4.3953, 99.7670, 6.0483, 0.3997, -0.9166, 127.73, 94.85, 0.3997, -0.9166, -4.0289, 1.7569, 0.6039, 629.0000, 601.4013, 1, 20, 0.7099, 9.7716, 9.0617, 3.1661, 0.6391, 0.3609, 127.73, 94.85, 127.73, 94.85, 0, 0, 0, 1, ok, ok
34.304, 2.2858, 98.8956, 7.6665, 2.5118, 2.2858, 98.8956, 7.6665, 0.5890, -0.8081, 113.79, 85.04, 0.5890, -0.8081, -1.8473, 1.3463, 0.2471, 601.0000, 606.7006, 1, 19, 5.3203, 9.8809, 4.5607, 1.6351, 0.6489, 0.3511, 113.79, 85.04, 113.79, 85.04, 0, 0, 0, 1, ok, ok
34.976, 2.7884, 104.5296, 7.2731, 2.4099, 2.7884, 104.5296, 7.2731, 0.6681, -0.7441, 112.74, 85.79, 0.6681, -0.7441, -2.0747, 1.8629, 0.4415, 607.0000, 569.8503, 1, 19, 4.0449, 9.9056, 5.8607, 2.0205, 0.5470, 0.4530, 112.74, 85.79, 112.74, 85.79, 0, 0, 1, 1, HR:105.2908->104.5296, ok
35.569, 2.7421, 96.6300, 6.4934, 2.3757, 2.7421, 96.6300, 6.4934, 0.6932, -0.7208, 114.23, 84.43, 0.6932, -0.7208, -1.9764, 1.9007, 0.6715, 542.0000, 620.9252, 1, 17, 3.3878, 9.3486, 5.9608, 2.0519, 0.5886, 0.4114, 114.23, 84.43, 114.23, 84.43, 0, 0, 0, 1, ok, ok
36.268, 4.8166, 98.8529, 5.2551, 2.6520, 4.8166, 98.8529, 5.2551, 0.4703, -0.8825, 128.86, 95.34, 0.4703, -0.8825, -4.2508, 2.2651, 0.4172, 661.0000, 606.9626, 1, 21, 0.4131, 9.8401, 9.4270, 3.4313, 0.6127, 0.3873, 128.86, 95.34, 128.86, 95.34, 0, 0, 0, 1, ok, ok
